entry,Base_SMILES,Base_Name,Ligand_SMILES,Ligand_Name,Solvent_SMILES,Solvent_Name,Concentration,Temp_C,yield
11,O=C([O-])C(C)(C)C.[K+],KOPv,CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C,XPhos,CC(N(C)C)=O,DMAc,0.1,105,77.41
12,O=C([O-])C.[Cs+],CsOAc,CC(C)C1=CC(C(C)C)=C(C(C(C)C)=C1)C2=C(P(C3CCCCC3)C4CCCCC4)C(OC)=CC=C2OC,BrettPhos,CC(N(C)C)=O,DMAc,0.1,105,4.74
13,O=C([O-])C.[Cs+],CsOAc,CC(C)(C)P(C1=CC=CC=C1)C(C)(C)C,PPht-Bu2,CC(N(C)C)=O,DMAc,0.1,105,0.0
14,O=C([O-])C.[Cs+],CsOAc,CN(C)C1=CC=CC(N(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C3=CC=CC=C3,t-BuPh-CPhos,CC(N(C)C)=O,DMAc,0.1,105,29.31
15,O=C([O-])C.[Cs+],CsOAc,P(C1CCCCC1)(C2CCCCC2)C3CCCCC3,PCy3,CC(N(C)C)=O,DMAc,0.1,105,12.83
16,O=C([O-])C.[Cs+],CsOAc,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,PPH3,CC(N(C)C)=O,DMAc,0.1,105,62.82
17,O=C([O-])C.[Cs+],CsOAc,CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C,XPhos,CC(N(C)C)=O,DMAc,0.1,105,87.83
18,O=C([O-])C(C)(C)C.[Cs+],CsOPv,CC(C)C1=CC(C(C)C)=C(C(C(C)C)=C1)C2=C(P(C3CCCCC3)C4CCCCC4)C(OC)=CC=C2OC,BrettPhos,CC(N(C)C)=O,DMAc,0.1,105,0.0
19,O=C([O-])C(C)(C)C.[Cs+],CsOPv,CC(C)(C)P(C1=CC=CC=C1)C(C)(C)C,PPht-Bu2,CC(N(C)C)=O,DMAc,0.1,105,0.0
20,O=C([O-])C(C)(C)C.[Cs+],CsOPv,CN(C)C1=CC=CC(N(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C3=CC=CC=C3,t-BuPh-CPhos,CC(N(C)C)=O,DMAc,0.1,105,7.62
21,O=C([O-])C(C)(C)C.[Cs+],CsOPv,P(C1CCCCC1)(C2CCCCC2)C3CCCCC3,PCy3,CC(N(C)C)=O,DMAc,0.1,105,8.85
22,O=C([O-])C(C)(C)C.[Cs+],CsOPv,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,PPH3,CC(N(C)C)=O,DMAc,0.1,105,52.05
23,O=C([O-])C(C)(C)C.[Cs+],CsOPv,CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C,XPhos,CC(N(C)C)=O,DMAc,0.1,105,29.16
24,O=C([O-])C.[K+],KOAc,CC(C)C1=CC(C(C)C)=C(C(C(C)C)=C1)C2=C(P(C3CCCCC3)C4CCCCC4)C(OC)=CC=C2OC,BrettPhos,CCCC#N,BuCN,0.1,105,18.44
25,O=C([O-])C.[K+],KOAc,CC(C)(C)P(C1=CC=CC=C1)C(C)(C)C,PPht-Bu2,CCCC#N,BuCN,0.1,105,0.0
26,O=C([O-])C.[K+],KOAc,CN(C)C1=CC=CC(N(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C3=CC=CC=C3,t-BuPh-CPhos,CCCC#N,BuCN,0.1,105,6.17
27,O=C([O-])C.[K+],KOAc,P(C1CCCCC1)(C2CCCCC2)C3CCCCC3,PCy3,CCCC#N,BuCN,0.1,105,0.0
28,O=C([O-])C.[K+],KOAc,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,PPH3,CCCC#N,BuCN,0.1,105,6.24
29,O=C([O-])C.[K+],KOAc,CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C,XPhos,CCCC#N,BuCN,0.1,105,47.3
30,O=C([O-])C(C)(C)C.[K+],KOPv,CC(C)C1=CC(C(C)C)=C(C(C(C)C)=C1)C2=C(P(C3CCCCC3)C4CCCCC4)C(OC)=CC=C2OC,BrettPhos,CCCC#N,BuCN,0.1,105,56.05
31,O=C([O-])C(C)(C)C.[K+],KOPv,CC(C)(C)P(C1=CC=CC=C1)C(C)(C)C,PPht-Bu2,CCCC#N,BuCN,0.1,105,0.0
32,O=C([O-])C(C)(C)C.[K+],KOPv,CN(C)C1=CC=CC(N(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C3=CC=CC=C3,t-BuPh-CPhos,CCCC#N,BuCN,0.1,105,6.39
33,O=C([O-])C(C)(C)C.[K+],KOPv,P(C1CCCCC1)(C2CCCCC2)C3CCCCC3,PCy3,CCCC#N,BuCN,0.1,105,0.35
34,O=C([O-])C(C)(C)C.[K+],KOPv,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,PPH3,CCCC#N,BuCN,0.1,105,4.28
35,O=C([O-])C(C)(C)C.[K+],KOPv,CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C,XPhos,CCCC#N,BuCN,0.1,105,56.14
36,O=C([O-])C.[Cs+],CsOAc,CC(C)C1=CC(C(C)C)=C(C(C(C)C)=C1)C2=C(P(C3CCCCC3)C4CCCCC4)C(OC)=CC=C2OC,BrettPhos,CCCC#N,BuCN,0.1,105,64.48
37,O=C([O-])C.[Cs+],CsOAc,CC(C)(C)P(C1=CC=CC=C1)C(C)(C)C,PPht-Bu2,CCCC#N,BuCN,0.1,105,0.0
38,O=C([O-])C.[Cs+],CsOAc,CN(C)C1=CC=CC(N(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C3=CC=CC=C3,t-BuPh-CPhos,CCCC#N,BuCN,0.1,105,5.88
39,O=C([O-])C.[Cs+],CsOAc,P(C1CCCCC1)(C2CCCCC2)C3CCCCC3,PCy3,CCCC#N,BuCN,0.1,105,0.57
40,O=C([O-])C.[Cs+],CsOAc,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,PPH3,CCCC#N,BuCN,0.1,105,3.21
41,O=C([O-])C.[Cs+],CsOAc,CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C,XPhos,CCCC#N,BuCN,0.1,105,83.83
42,O=C([O-])C(C)(C)C.[Cs+],CsOPv,CC(C)C1=CC(C(C)C)=C(C(C(C)C)=C1)C2=C(P(C3CCCCC3)C4CCCCC4)C(OC)=CC=C2OC,BrettPhos,CCCC#N,BuCN,0.1,105,55.41
43,O=C([O-])C(C)(C)C.[Cs+],CsOPv,CC(C)(C)P(C1=CC=CC=C1)C(C)(C)C,PPht-Bu2,CCCC#N,BuCN,0.1,105,0.0
44,O=C([O-])C(C)(C)C.[Cs+],CsOPv,CN(C)C1=CC=CC(N(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C3=CC=CC=C3,t-BuPh-CPhos,CCCC#N,BuCN,0.1,105,5.41
45,O=C([O-])C(C)(C)C.[Cs+],CsOPv,P(C1CCCCC1)(C2CCCCC2)C3CCCCC3,PCy3,CCCC#N,BuCN,0.1,105,0.33
46,O=C([O-])C(C)(C)C.[Cs+],CsOPv,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,PPH3,CCCC#N,BuCN,0.1,105,3.44
47,O=C([O-])C(C)(C)C.[Cs+],CsOPv,CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C,XPhos,CCCC#N,BuCN,0.1,105,68.53
48,O=C([O-])C.[K+],KOAc,CC(C)C1=CC(C(C)C)=C(C(C(C)C)=C1)C2=C(P(C3CCCCC3)C4CCCCC4)C(OC)=CC=C2OC,BrettPhos,CCCCOC(C)=O,BuOAc,0.1,105,17.09
49,O=C([O-])C.[K+],KOAc,CC(C)(C)P(C1=CC=CC=C1)C(C)(C)C,PPht-Bu2,CCCCOC(C)=O,BuOAc,0.1,105,0.0
50,O=C([O-])C.[K+],KOAc,CN(C)C1=CC=CC(N(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C3=CC=CC=C3,t-BuPh-CPhos,CCCCOC(C)=O,BuOAc,0.1,105,0.0
51,O=C([O-])C.[K+],KOAc,P(C1CCCCC1)(C2CCCCC2)C3CCCCC3,PCy3,CCCCOC(C)=O,BuOAc,0.1,105,0.0
52,O=C([O-])C.[K+],KOAc,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,PPH3,CCCCOC(C)=O,BuOAc,0.1,105,3.41
53,O=C([O-])C.[K+],KOAc,CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C,XPhos,CCCCOC(C)=O,BuOAc,0.1,105,64.62
54,O=C([O-])C(C)(C)C.[K+],KOPv,CC(C)C1=CC(C(C)C)=C(C(C(C)C)=C1)C2=C(P(C3CCCCC3)C4CCCCC4)C(OC)=CC=C2OC,BrettPhos,CCCCOC(C)=O,BuOAc,0.1,105,49.22
55,O=C([O-])C(C)(C)C.[K+],KOPv,CC(C)(C)P(C1=CC=CC=C1)C(C)(C)C,PPht-Bu2,CCCCOC(C)=O,BuOAc,0.1,105,0.0
56,O=C([O-])C(C)(C)C.[K+],KOPv,CN(C)C1=CC=CC(N(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C3=CC=CC=C3,t-BuPh-CPhos,CCCCOC(C)=O,BuOAc,0.1,105,22.75
57,O=C([O-])C(C)(C)C.[K+],KOPv,P(C1CCCCC1)(C2CCCCC2)C3CCCCC3,PCy3,CCCCOC(C)=O,BuOAc,0.1,105,0.0
58,O=C([O-])C(C)(C)C.[K+],KOPv,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,PPH3,CCCCOC(C)=O,BuOAc,0.1,105,1.92
59,O=C([O-])C(C)(C)C.[K+],KOPv,CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C,XPhos,CCCCOC(C)=O,BuOAc,0.1,105,48.25
60,O=C([O-])C.[Cs+],CsOAc,CC(C)C1=CC(C(C)C)=C(C(C(C)C)=C1)C2=C(P(C3CCCCC3)C4CCCCC4)C(OC)=CC=C2OC,BrettPhos,CCCCOC(C)=O,BuOAc,0.1,105,26.64
61,O=C([O-])C.[Cs+],CsOAc,CC(C)(C)P(C1=CC=CC=C1)C(C)(C)C,PPht-Bu2,CCCCOC(C)=O,BuOAc,0.1,105,0.0
62,O=C([O-])C.[Cs+],CsOAc,CN(C)C1=CC=CC(N(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C3=CC=CC=C3,t-BuPh-CPhos,CCCCOC(C)=O,BuOAc,0.1,105,0.0
63,O=C([O-])C.[Cs+],CsOAc,P(C1CCCCC1)(C2CCCCC2)C3CCCCC3,PCy3,CCCCOC(C)=O,BuOAc,0.1,105,0.0
64,O=C([O-])C.[Cs+],CsOAc,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,PPH3,CCCCOC(C)=O,BuOAc,0.1,105,4.22
65,O=C([O-])C.[Cs+],CsOAc,CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C,XPhos,CCCCOC(C)=O,BuOAc,0.1,105,86.43
66,O=C([O-])C(C)(C)C.[Cs+],CsOPv,CC(C)C1=CC(C(C)C)=C(C(C(C)C)=C1)C2=C(P(C3CCCCC3)C4CCCCC4)C(OC)=CC=C2OC,BrettPhos,CCCCOC(C)=O,BuOAc,0.1,105,27.48
67,O=C([O-])C(C)(C)C.[Cs+],CsOPv,CC(C)(C)P(C1=CC=CC=C1)C(C)(C)C,PPht-Bu2,CCCCOC(C)=O,BuOAc,0.1,105,0.0
68,O=C([O-])C(C)(C)C.[Cs+],CsOPv,CN(C)C1=CC=CC(N(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C3=CC=CC=C3,t-BuPh-CPhos,CCCCOC(C)=O,BuOAc,0.1,105,15.16
69,O=C([O-])C(C)(C)C.[Cs+],CsOPv,P(C1CCCCC1)(C2CCCCC2)C3CCCCC3,PCy3,CCCCOC(C)=O,BuOAc,0.1,105,0.0
70,O=C([O-])C(C)(C)C.[Cs+],CsOPv,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,PPH3,CCCCOC(C)=O,BuOAc,0.1,105,0.91
71,O=C([O-])C(C)(C)C.[Cs+],CsOPv,CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C,XPhos,CCCCOC(C)=O,BuOAc,0.1,105,59.92
72,O=C([O-])C.[K+],KOAc,CC(C)C1=CC(C(C)C)=C(C(C(C)C)=C1)C2=C(P(C3CCCCC3)C4CCCCC4)C(OC)=CC=C2OC,BrettPhos,CC1=CC=C(C)C=C1,p-Xylene,0.1,105,16.44
73,O=C([O-])C.[K+],KOAc,CC(C)(C)P(C1=CC=CC=C1)C(C)(C)C,PPht-Bu2,CC1=CC=C(C)C=C1,p-Xylene,0.1,105,0.0
74,O=C([O-])C.[K+],KOAc,CN(C)C1=CC=CC(N(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C3=CC=CC=C3,t-BuPh-CPhos,CC1=CC=C(C)C=C1,p-Xylene,0.1,105,6.39
75,O=C([O-])C.[K+],KOAc,P(C1CCCCC1)(C2CCCCC2)C3CCCCC3,PCy3,CC1=CC=C(C)C=C1,p-Xylene,0.1,105,0.0
76,O=C([O-])C.[K+],KOAc,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,PPH3,CC1=CC=C(C)C=C1,p-Xylene,0.1,105,2.06
77,O=C([O-])C.[K+],KOAc,CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C,XPhos,CC1=CC=C(C)C=C1,p-Xylene,0.1,105,43.76
78,O=C([O-])C(C)(C)C.[K+],KOPv,CC(C)C1=CC(C(C)C)=C(C(C(C)C)=C1)C2=C(P(C3CCCCC3)C4CCCCC4)C(OC)=CC=C2OC,BrettPhos,CC1=CC=C(C)C=C1,p-Xylene,0.1,105,29.17
79,O=C([O-])C(C)(C)C.[K+],KOPv,CC(C)(C)P(C1=CC=CC=C1)C(C)(C)C,PPht-Bu2,CC1=CC=C(C)C=C1,p-Xylene,0.1,105,0.0
80,O=C([O-])C(C)(C)C.[K+],KOPv,CN(C)C1=CC=CC(N(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C3=CC=CC=C3,t-BuPh-CPhos,CC1=CC=C(C)C=C1,p-Xylene,0.1,105,14.92
81,O=C([O-])C(C)(C)C.[K+],KOPv,P(C1CCCCC1)(C2CCCCC2)C3CCCCC3,PCy3,CC1=CC=C(C)C=C1,p-Xylene,0.1,105,0.0
82,O=C([O-])C(C)(C)C.[K+],KOPv,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,PPH3,CC1=CC=C(C)C=C1,p-Xylene,0.1,105,1.41
83,O=C([O-])C(C)(C)C.[K+],KOPv,CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C,XPhos,CC1=CC=C(C)C=C1,p-Xylene,0.1,105,35.07
84,O=C([O-])C.[Cs+],CsOAc,CC(C)C1=CC(C(C)C)=C(C(C(C)C)=C1)C2=C(P(C3CCCCC3)C4CCCCC4)C(OC)=CC=C2OC,BrettPhos,CC1=CC=C(C)C=C1,p-Xylene,0.1,105,40.03
85,O=C([O-])C.[Cs+],CsOAc,CC(C)(C)P(C1=CC=CC=C1)C(C)(C)C,PPht-Bu2,CC1=CC=C(C)C=C1,p-Xylene,0.1,105,0.0
86,O=C([O-])C.[Cs+],CsOAc,CN(C)C1=CC=CC(N(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C3=CC=CC=C3,t-BuPh-CPhos,CC1=CC=C(C)C=C1,p-Xylene,0.1,105,19.51
87,O=C([O-])C.[Cs+],CsOAc,P(C1CCCCC1)(C2CCCCC2)C3CCCCC3,PCy3,CC1=CC=C(C)C=C1,p-Xylene,0.1,105,0.55
88,O=C([O-])C.[Cs+],CsOAc,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,PPH3,CC1=CC=C(C)C=C1,p-Xylene,0.1,105,10.5
89,O=C([O-])C.[Cs+],CsOAc,CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C,XPhos,CC1=CC=C(C)C=C1,p-Xylene,0.1,105,67.17
90,O=C([O-])C(C)(C)C.[Cs+],CsOPv,CC(C)C1=CC(C(C)C)=C(C(C(C)C)=C1)C2=C(P(C3CCCCC3)C4CCCCC4)C(OC)=CC=C2OC,BrettPhos,CC1=CC=C(C)C=C1,p-Xylene,0.1,105,21.54
91,O=C([O-])C(C)(C)C.[Cs+],CsOPv,CC(C)(C)P(C1=CC=CC=C1)C(C)(C)C,PPht-Bu2,CC1=CC=C(C)C=C1,p-Xylene,0.1,105,0.0
92,O=C([O-])C(C)(C)C.[Cs+],CsOPv,CN(C)C1=CC=CC(N(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C3=CC=CC=C3,t-BuPh-CPhos,CC1=CC=C(C)C=C1,p-Xylene,0.1,105,28.65
93,O=C([O-])C(C)(C)C.[Cs+],CsOPv,P(C1CCCCC1)(C2CCCCC2)C3CCCCC3,PCy3,CC1=CC=C(C)C=C1,p-Xylene,0.1,105,0.0
94,O=C([O-])C(C)(C)C.[Cs+],CsOPv,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,PPH3,CC1=CC=C(C)C=C1,p-Xylene,0.1,105,0.66
95,O=C([O-])C(C)(C)C.[Cs+],CsOPv,CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C,XPhos,CC1=CC=C(C)C=C1,p-Xylene,0.1,105,53.63
96,O=C([O-])C.[K+],KOAc,CC(C)C1=CC(C(C)C)=C(C(C(C)C)=C1)C2=C(P(C3CCCCC3)C4CCCCC4)C(OC)=CC=C2OC,BrettPhos,CC(N(C)C)=O,DMAc,0.1,90,5.22
97,O=C([O-])C.[K+],KOAc,CC(C)(C)P(C1=CC=CC=C1)C(C)(C)C,PPht-Bu2,CC(N(C)C)=O,DMAc,0.1,90,0.0
98,O=C([O-])C.[K+],KOAc,CN(C)C1=CC=CC(N(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C3=CC=CC=C3,t-BuPh-CPhos,CC(N(C)C)=O,DMAc,0.1,90,47.03
99,O=C([O-])C.[K+],KOAc,P(C1CCCCC1)(C2CCCCC2)C3CCCCC3,PCy3,CC(N(C)C)=O,DMAc,0.1,90,1.71
100,O=C([O-])C.[K+],KOAc,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,PPH3,CC(N(C)C)=O,DMAc,0.1,90,14.29
101,O=C([O-])C.[K+],KOAc,CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C,XPhos,CC(N(C)C)=O,DMAc,0.1,90,38.03
102,O=C([O-])C(C)(C)C.[K+],KOPv,CC(C)C1=CC(C(C)C)=C(C(C(C)C)=C1)C2=C(P(C3CCCCC3)C4CCCCC4)C(OC)=CC=C2OC,BrettPhos,CC(N(C)C)=O,DMAc,0.1,90,0.0
103,O=C([O-])C(C)(C)C.[K+],KOPv,CC(C)(C)P(C1=CC=CC=C1)C(C)(C)C,PPht-Bu2,CC(N(C)C)=O,DMAc,0.1,90,0.0
104,O=C([O-])C(C)(C)C.[K+],KOPv,CN(C)C1=CC=CC(N(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C3=CC=CC=C3,t-BuPh-CPhos,CC(N(C)C)=O,DMAc,0.1,90,10.12
105,O=C([O-])C(C)(C)C.[K+],KOPv,P(C1CCCCC1)(C2CCCCC2)C3CCCCC3,PCy3,CC(N(C)C)=O,DMAc,0.1,90,3.01
106,O=C([O-])C(C)(C)C.[K+],KOPv,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,PPH3,CC(N(C)C)=O,DMAc,0.1,90,38.78
107,O=C([O-])C(C)(C)C.[K+],KOPv,CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C,XPhos,CC(N(C)C)=O,DMAc,0.1,90,55.17
108,O=C([O-])C.[Cs+],CsOAc,CC(C)C1=CC(C(C)C)=C(C(C(C)C)=C1)C2=C(P(C3CCCCC3)C4CCCCC4)C(OC)=CC=C2OC,BrettPhos,CC(N(C)C)=O,DMAc,0.1,90,4.23
109,O=C([O-])C.[Cs+],CsOAc,CC(C)(C)P(C1=CC=CC=C1)C(C)(C)C,PPht-Bu2,CC(N(C)C)=O,DMAc,0.1,90,0.0
110,O=C([O-])C.[Cs+],CsOAc,CN(C)C1=CC=CC(N(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C3=CC=CC=C3,t-BuPh-CPhos,CC(N(C)C)=O,DMAc,0.1,90,17.74
111,O=C([O-])C.[Cs+],CsOAc,P(C1CCCCC1)(C2CCCCC2)C3CCCCC3,PCy3,CC(N(C)C)=O,DMAc,0.1,90,4.02
112,O=C([O-])C.[Cs+],CsOAc,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,PPH3,CC(N(C)C)=O,DMAc,0.1,90,32.36
113,O=C([O-])C.[Cs+],CsOAc,CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C,XPhos,CC(N(C)C)=O,DMAc,0.1,90,84.17
114,O=C([O-])C(C)(C)C.[Cs+],CsOPv,CC(C)C1=CC(C(C)C)=C(C(C(C)C)=C1)C2=C(P(C3CCCCC3)C4CCCCC4)C(OC)=CC=C2OC,BrettPhos,CC(N(C)C)=O,DMAc,0.1,90,0.0
115,O=C([O-])C(C)(C)C.[Cs+],CsOPv,CC(C)(C)P(C1=CC=CC=C1)C(C)(C)C,PPht-Bu2,CC(N(C)C)=O,DMAc,0.1,90,0.0
116,O=C([O-])C(C)(C)C.[Cs+],CsOPv,CN(C)C1=CC=CC(N(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C3=CC=CC=C3,t-BuPh-CPhos,CC(N(C)C)=O,DMAc,0.1,90,4.77
117,O=C([O-])C(C)(C)C.[Cs+],CsOPv,P(C1CCCCC1)(C2CCCCC2)C3CCCCC3,PCy3,CC(N(C)C)=O,DMAc,0.1,90,3.69
118,O=C([O-])C(C)(C)C.[Cs+],CsOPv,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,PPH3,CC(N(C)C)=O,DMAc,0.1,90,33.59
119,O=C([O-])C(C)(C)C.[Cs+],CsOPv,CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C,XPhos,CC(N(C)C)=O,DMAc,0.1,90,22.94
120,O=C([O-])C.[K+],KOAc,CC(C)C1=CC(C(C)C)=C(C(C(C)C)=C1)C2=C(P(C3CCCCC3)C4CCCCC4)C(OC)=CC=C2OC,BrettPhos,CCCC#N,BuCN,0.1,90,9.66
121,O=C([O-])C.[K+],KOAc,CC(C)(C)P(C1=CC=CC=C1)C(C)(C)C,PPht-Bu2,CCCC#N,BuCN,0.1,90,0.0
122,O=C([O-])C.[K+],KOAc,CN(C)C1=CC=CC(N(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C3=CC=CC=C3,t-BuPh-CPhos,CCCC#N,BuCN,0.1,90,4.61
123,O=C([O-])C.[K+],KOAc,P(C1CCCCC1)(C2CCCCC2)C3CCCCC3,PCy3,CCCC#N,BuCN,0.1,90,0.0
124,O=C([O-])C.[K+],KOAc,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,PPH3,CCCC#N,BuCN,0.1,90,2.83
125,O=C([O-])C.[K+],KOAc,CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C,XPhos,CCCC#N,BuCN,0.1,90,26.5
126,O=C([O-])C(C)(C)C.[K+],KOPv,CC(C)C1=CC(C(C)C)=C(C(C(C)C)=C1)C2=C(P(C3CCCCC3)C4CCCCC4)C(OC)=CC=C2OC,BrettPhos,CCCC#N,BuCN,0.1,90,39.5
127,O=C([O-])C(C)(C)C.[K+],KOPv,CC(C)(C)P(C1=CC=CC=C1)C(C)(C)C,PPht-Bu2,CCCC#N,BuCN,0.1,90,0.95
