canonical_smiles,molregno,mol_chembl_id,standard_relation,standard_value,standard_type,standard_units,description,organism,assay_type,confidence_score,pref_name,tgt_chembl_id
Cl.CN1Cc2ccccc2[C@@H](N=C1CCc3ccc(NS(=O)(=O)C)cc3)c4ccc(F)cc4F,1151968,CHEMBL1788304,=,85000.000000000000000000000000000000,IC50,nM,Blockade of the delayed rectifier K+ current (IKr) of guinea pig myocytes,Homo sapiens,F,8,HERG,CHEMBL240
CN(CCOc1ccc(NS(=O)(=O)C)cc1)CCc2ccc(NS(=O)(=O)C)cc2,5638,CHEMBL473,=,44000.000000000000000000000000000000,IC50,nM,Blockade of the delayed rectifier K+ current (IKr) of guinea pig myocytes,Homo sapiens,F,8,HERG,CHEMBL240
CN1Cc2ccccc2[C@@H](N=C1OCc3ccc(NS(=O)(=O)C)cc3)c4ccccc4.OC(=O)\C=C\C(=O)O,1368078,CHEMBL2092889,=,29000.000000000000000000000000000000,IC50,nM,Blockade of the delayed rectifier K+ current (IKr) of guinea pig myocytes,Homo sapiens,F,8,HERG,CHEMBL240
Cl.CN1Cc2ccccc2[C@H](N=C1CCc3ccc(NS(=O)(=O)C)cc3)c4ccc(F)cc4F,1368079,CHEMBL2092890,=,38000.000000000000000000000000000000,IC50,nM,Blockade of the delayed rectifier K+ current (IKr) of guinea pig myocytes,Homo sapiens,F,8,HERG,CHEMBL240
CN1Cc2ccccc2[C@H](N=C1OCc3ccc(NS(=O)(=O)C)cc3)c4ccccc4.OC(=O)\C=C\C(=O)O,1151870,CHEMBL1788206,=,38000.000000000000000000000000000000,IC50,nM,Blockade of the delayed rectifier K+ current (IKr) of guinea pig myocytes,Homo sapiens,F,8,HERG,CHEMBL240
CN1C(=O)[C@H](NC(=O)C(N)Cc2ccccc2)N=C(c3ccccc3)c4ccccc14,208706,CHEMBL338109,=,8800.000000000000000000000000000000,IC50,nM,Inhibition of Ikr current in isolated guinea pig myocytes during a 0.5 s voltage clamp step from -50 to -10 mV.,Homo sapiens,F,8,HERG,CHEMBL240
FC(F)(F)CN1C(=O)[C@H](NC(=O)Cc2ccc(cc2C(F)(F)F)C(F)(F)F)N=C(c3ccccc3)c4ccccc14,17946,CHEMBL16900,=,6000.000000000000000000000000000000,IC50,nM,Inhibition of Ikr current in isolated guinea pig myocytes during a 0.5 s voltage clamp step from -50 to -10 mV.,Homo sapiens,F,8,HERG,CHEMBL240
CN1C(=O)[C@H](NC(=O)CCC2CCCCC2)N=C(c3ccccc3)c4ccccc14,208497,CHEMBL340353,=,1000.000000000000000000000000000000,IC50,nM,Inhibition of Ikr current in isolated guinea pig myocytes during a 0.5 s voltage clamp step from -50 to -10 mV.,Homo sapiens,F,8,HERG,CHEMBL240
CN1C(=O)[C@H](NC(=O)\C=C\c2ccc(Cl)cc2Cl)N=C(c3ccccc3)c4ccccc14,203776,CHEMBL332826,=,1500.000000000000000000000000000000,IC50,nM,Inhibition of Ikr current in isolated guinea pig myocytes during a 0.5 s voltage clamp step from -50 to -10 mV.,Homo sapiens,F,8,HERG,CHEMBL240
FC(F)(F)CN1C(=O)[C@H](NC(=O)Cc2ccc(Cl)cc2Cl)N=C(c3ccccc3)c4ccccc14,208523,CHEMBL127701,=,2400.000000000000000000000000000000,IC50,nM,Inhibition of Ikr current in isolated guinea pig myocytes during a 0.5 s voltage clamp step from -50 to -10 mV.,Homo sapiens,F,8,HERG,CHEMBL240
CN1C(=O)[C@H](NC(=O)Nc2cccc(C)c2)N=C(c3ccccc3)c4ccccc14,5371,CHEMBL9387,=,5000.000000000000000000000000000000,IC50,nM,Inhibition of Ikr current in isolated guinea pig myocytes during a 0.5 s voltage clamp step from -50 to -10 mV.,Homo sapiens,F,8,HERG,CHEMBL240
FC(F)(F)CN1C(=O)[C@H](NC(=O)Cc2cc(Cl)cc(Cl)c2)N=C(c3ccccc3)c4ccccc14,208524,CHEMBL339327,=,4000.000000000000000000000000000000,IC50,nM,Inhibition of Ikr current in isolated guinea pig myocytes during a 0.5 s voltage clamp step from -50 to -10 mV.,Homo sapiens,F,8,HERG,CHEMBL240
CN1C(=O)[C@@H](NC(=O)Nc2cccc(C)c2)N=C(c3ccccc3)c4ccccc14,112222,CHEMBL70380,=,10000.000000000000000000000000000000,IC50,nM,Inhibition of Ikr current in isolated guinea pig myocytes during a 0.5 s voltage clamp step from -50 to -10 mV.,Homo sapiens,F,8,HERG,CHEMBL240
CN(C)CCN1C(=O)C(NC(=O)CCc2ccc(Cl)cc2Cl)N=C(c3ccccc3)c4ccccc14,208427,CHEMBL128007,=,100.000000000000000000000000000000,IC50,nM,Inhibition of Ikr current in isolated guinea pig myocytes during a 0.5 s voltage clamp step from -50 to -10 mV.,Homo sapiens,F,8,HERG,CHEMBL240
CCCCN(CCCC)CCC(O)c1cc2c(Cl)cc(Cl)cc2c3cc(ccc13)C(F)(F)F,152728,CHEMBL1107,=,196.000000000000000000000000000000,IC50,nM,K+ channel blocking activity in Chinese hamster ovary cells expressing HERG Kv11.1,Homo sapiens,F,9,HERG,CHEMBL240
O=C(O[C@@H]1C[C@@H]2C[C@H]3C[C@H](C1)N2CC3=O)c4c[nH]c5ccccc45,1543376,CHEMBL2368925,=,5950.000000000000000000000000000000,IC50,nM,K+ channel blocking activity in human embryonic kidney cells expressing HERG Kv11.1,Homo sapiens,F,9,HERG,CHEMBL240
COc1ccc(CCN2CCC(CC2)Nc3nc4ccccc4n3Cc5ccc(F)cc5)cc1,65605,CHEMBL296419,=,0.900000000000000000000000000000,IC50,nM,K+ channel blocking activity in human embryonic kidney cells expressing HERG Kv11.1,Homo sapiens,F,9,HERG,CHEMBL240
Fc1ccc(cc1)C(=O)CCCN2CCC(=CC2)N3C(=O)Nc4ccccc34,152751,CHEMBL1108,=,32.200000000000000000000000000000,IC50,nM,K+ channel blocking activity in human embryonic kidney cells expressing HERG Kv11.1,Homo sapiens,F,9,HERG,CHEMBL240
COc1ccc(CCN(C)CCCC(C#N)(C(C)C)c2ccc(OC)c(OC)c2)cc1OC,1219,CHEMBL6966,=,143.000000000000000000000000000000,IC50,nM,K+ channel blocking activity in human embryonic kidney cells expressing HERG Kv11.1,Homo sapiens,F,9,HERG,CHEMBL240
CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc4cccnc24)CC1,110803,CHEMBL998,=,173.000000000000000000000000000000,IC50,nM,K+ channel blocking activity in human embryonic kidney cells expressing HERG Kv11.1,Homo sapiens,F,9,HERG,CHEMBL240
Fc1ccc(cc1)n2cc(C3CCN(CCN4CCNC4=O)CC3)c5cc(Cl)ccc25,10813,CHEMBL12713,=,14.000000000000000000000000000000,IC50,nM,K+ channel blocking activity in human embryonic kidney cells expressing HERG Kv11.1,Homo sapiens,F,9,HERG,CHEMBL240
CCCc1nn(C)c2C(=O)NC(=Nc12)c3cc(ccc3OCC)S(=O)(=O)N4CCN(C)CC4,410802,CHEMBL192,=,100000.000000000000000000000000000000,IC50,nM,K+ channel blocking activity in human embryonic kidney cells expressing HERG Kv11.1,Homo sapiens,F,9,HERG,CHEMBL240
CN(CCOc1ccc(NS(=O)(=O)C)cc1)CCc2ccc(NS(=O)(=O)C)cc2,5638,CHEMBL473,=,15.000000000000000000000000000000,IC50,nM,K+ channel blocking activity in human embryonic kidney cells expressing HERG Kv11.1,Homo sapiens,F,9,HERG,CHEMBL240
OC1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)c3ccc(Cl)cc3,3859,CHEMBL54,=,28.100000000000000000000000000000,IC50,nM,K+ channel blocking activity in human embryonic kidney cells expressing HERG Kv11.1,Homo sapiens,F,9,HERG,CHEMBL240
CC(C)(C)c1ccc(cc1)C(O)CCCN2CCC(CC2)C(O)(c3ccccc3)c4ccccc4,19569,CHEMBL17157,=,204.000000000000000000000000000000,IC50,nM,K+ channel blocking activity in human embryonic kidney cells expressing HERG Kv11.1,Homo sapiens,F,9,HERG,CHEMBL240
CN1C2CCCC1CC(C2)NC(=O)c3nn(C)c4ccccc34,54547,CHEMBL289469,=,3730.000000000000000000000000000000,IC50,nM,K+ channel blocking activity in human embryonic kidney cells expressing HERG Kv11.1,Homo sapiens,F,9,HERG,CHEMBL240
Fc1ccc(cc1)C(CCCN2CCC(CC2)N3C(=O)Nc4ccccc34)c5ccc(F)cc5,364141,CHEMBL1423,=,18.000000000000000000000000000000,IC50,nM,K+ channel blocking activity in human embryonic kidney cells expressing HERG Kv11.1,Homo sapiens,F,9,HERG,CHEMBL240
COC1CN(CCCOc2ccc(F)cc2)CCC1NC(=O)c3cc(Cl)c(N)cc3OC,557741,CHEMBL1729,=,6.500000000000000000000000000000,IC50,nM,K+ channel blocking activity in human embryonic kidney cells expressing HERG Kv11.1,Homo sapiens,F,9,HERG,CHEMBL240
CC(C)(C(=O)O)c1ccc(cc1)C(O)CCCN2CCC(CC2)C(O)(c3ccccc3)c4ccccc4,81683,CHEMBL914,=,21570.000000000000000000000000000000,IC50,nM,K+ channel blocking activity in human embryonic kidney cells expressing HERG Kv11.1,Homo sapiens,F,9,HERG,CHEMBL240
Cc1cccc(CCN2CCC(CC2)C(=O)c3ccc(NS(=O)(=O)C)cc3)n1,152611,CHEMBL327980,=,7.700000000000000000000000000000,IC50,nM,K+ channel blocking activity in human embryonic kidney cells expressing HERG Kv11.1,Homo sapiens,F,9,HERG,CHEMBL240
Clc1ccc2N(C3CCN(CCCN4C(=O)Nc5ccccc45)CC3)C(=O)Nc2c1,364745,CHEMBL219916,=,162.000000000000000000000000000000,IC50,nM,K+ channel blocking activity in human embryonic kidney cells expressing HERG Kv11.1,Homo sapiens,F,9,HERG,CHEMBL240
COc1ccc(cc1)[C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(=O)C,1278,CHEMBL23,=,17300.000000000000000000000000000000,IC50,nM,K+ channel blocking activity in human embryonic kidney cells expressing HERG Kv11.1,Homo sapiens,F,9,HERG,CHEMBL240
CN(C1CCN(CC1)c2nc3ccccc3n2Cc4ccc(F)cc4)C5=NC=CC(=O)N5,152819,CHEMBL94454,=,350.000000000000000000000000000000,IC50,nM,K+ channel blocking activity in human embryonic kidney cells expressing HERG Kv11.1,Homo sapiens,F,9,HERG,CHEMBL240
CSc1ccc2Sc3ccccc3N(CCC4CCCCN4C)c2c1,5970,CHEMBL479,=,35.700000000000000000000000000000,IC50,nM,K+ channel blocking activity in human embryonic kidney cells expressing HERG Kv11.1,Homo sapiens,F,9,HERG,CHEMBL240
COc1ccc(Cl)cc1C(=O)NCCc2ccc(cc2)S(=O)(=O)NC(=O)NC3CCCCC3,5582,CHEMBL472,=,74000.000000000000000000000000000000,IC50,nM,K+ channel blocking activity in neuroblastoma cells expressing HERG Kv11.1,Homo sapiens,F,9,HERG,CHEMBL240
COC(=O)C1=C(C)NC(=C(C1c2ccccc2[N+](=O)[O-])C(=O)OC)C,419596,CHEMBL193,=,50118.720000000000000000000000000000,IC50,nM,Inhibition of human Potassium channel HERG expressed in mammalian cells,Homo sapiens,B,9,HERG,CHEMBL240
CN(CCOc1ccc(NS(=O)(=O)C)cc1)CCc2ccc(NS(=O)(=O)C)cc2,5638,CHEMBL473,=,10.000000000000000000000000000000,IC50,nM,Inhibition of human Potassium channel HERG expressed in mammalian cells,Homo sapiens,B,9,HERG,CHEMBL240
CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc4cccnc24)CC1,110803,CHEMBL998,=,169.820000000000000000000000000000,IC50,nM,Inhibition of human Potassium channel HERG expressed in mammalian cells,Homo sapiens,B,9,HERG,CHEMBL240
Oc1ccc(CCN2CCC(CC2)Nc3nc4ccccc4n3Cc5ccc(F)cc5)cc1,91240,CHEMBL60796,=,1.000000000000000000000000000000,IC50,nM,Inhibition of human Potassium channel HERG expressed in mammalian cells,Homo sapiens,B,9,HERG,CHEMBL240
Cc1[nH]cnc1CN2CCc3c(C2=O)c4ccccc4n3C,153342,CHEMBL1110,=,3235.940000000000000000000000000000,IC50,nM,Inhibition of human Potassium channel HERG expressed in mammalian cells,Homo sapiens,B,9,HERG,CHEMBL240
CC(C)COCC(CN(Cc1ccccc1)c2ccccc2)N3CCCC3,112651,CHEMBL1008,=,549.540000000000000000000000000000,IC50,nM,Inhibition of human Potassium channel HERG expressed in mammalian cells,Homo sapiens,B,9,HERG,CHEMBL240
COc1ccccc1OCCNCC(O)COc2cccc3[nH]c4ccccc4c23,36662,CHEMBL723,=,10471.290000000000000000000000000000,IC50,nM,Inhibition of human Potassium channel HERG expressed in mammalian cells,Homo sapiens,B,9,HERG,CHEMBL240
C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc4C(=O)C(=CN1c24)C(=O)O,1795,CHEMBL33,=,912010.840000000000000000000000000000,IC50,nM,Inhibition of human Potassium channel HERG expressed in mammalian cells,Homo sapiens,B,9,HERG,CHEMBL240
CCCCN(CCCC)CCC(O)c1cc2c(Cl)cc(Cl)cc2c3cc(ccc13)C(F)(F)F,152728,CHEMBL1107,=,199.530000000000000000000000000000,IC50,nM,Inhibition of human Potassium channel HERG expressed in mammalian cells,Homo sapiens,B,9,HERG,CHEMBL240
C(C(C1CCCCC1)C2CCCCC2)C3CCCCN3,119288,CHEMBL75880,=,7762.470000000000000000000000000000,IC50,nM,Inhibition of human Potassium channel HERG expressed in mammalian cells,Homo sapiens,B,9,HERG,CHEMBL240
CN(C)CCCC1(OCc2cc(ccc12)C#N)c3ccc(F)cc3,14367,CHEMBL549,=,3981.070000000000000000000000000000,IC50,nM,Inhibition of human Potassium channel HERG expressed in mammalian cells,Homo sapiens,B,9,HERG,CHEMBL240
COc1ccc(CCN2CCC(CC2)Nc3nc4ccccc4n3Cc5ccc(F)cc5)cc1,65605,CHEMBL296419,=,6.026000000000000000000000000000,IC50,nM,Inhibition of human Potassium channel HERG expressed in mammalian cells,Homo sapiens,B,9,HERG,CHEMBL240
O=C(O[C@@H]1C[C@@H]2C[C@H]3C[C@@H](C1)N2CC3=O)C4CNc5ccccc45,152835,CHEMBL319742,=,5888.440000000000000000000000000000,IC50,nM,Inhibition of human Potassium channel HERG expressed in mammalian cells,Homo sapiens,B,9,HERG,CHEMBL240
COC(=O)[C@H]1[C@H](C[C@@H]2CC[C@H]1N2C)OC(=O)c3ccccc3,333370,CHEMBL370805,=,7244.360000000000000000000000000000,IC50,nM,Inhibition of human Potassium channel HERG expressed in mammalian cells,Homo sapiens,B,9,HERG,CHEMBL240
CCCCCCCN(CC)CCCC(O)c1ccc(NS(=O)(=O)C)cc1,12608,CHEMBL533,=,10.000000000000000000000000000000,IC50,nM,Inhibition of human Potassium channel HERG expressed in mammalian cells,Homo sapiens,B,9,HERG,CHEMBL240
COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc4cc(F)ccc4[C@@H]1C(C)C,72035,CHEMBL45816,=,1445.440000000000000000000000000000,IC50,nM,Inhibition of human Potassium channel HERG expressed in mammalian cells,Homo sapiens,B,9,HERG,CHEMBL240
COC1CN(CCCOc2ccc(F)cc2)CCC1NC(=O)c3cc(Cl)c(N)cc3OC,557741,CHEMBL1729,=,39.810000000000000000000000000000,IC50,nM,Inhibition of human Potassium channel HERG expressed in mammalian cells,Homo sapiens,B,9,HERG,CHEMBL240
CC(C)N(CCC(C(=O)N)(c1ccccc1)c2ccccn2)C(C)C,11143,CHEMBL517,=,91201.080000000000000000000000000000,IC50,nM,Inhibition of human Potassium channel HERG expressed in mammalian cells,Homo sapiens,B,9,HERG,CHEMBL240
CC1COc2c(N3CCN(C)CC3)c(F)cc4C(=O)C(=CN1c24)C(=O)O,146,CHEMBL4,=,1412537.540000000000000000000000000000,IC50,nM,Inhibition of human Potassium channel HERG expressed in mammalian cells,Homo sapiens,B,9,HERG,CHEMBL240
C[C@@H]1CN(C[C@H](C)N1)c2c(F)c(N)c3C(=O)C(=CN(C4CC4)c3c2F)C(=O)O,65351,CHEMBL850,=,18197.010000000000000000000000000000,IC50,nM,Inhibition of human Potassium channel HERG expressed in mammalian cells,Homo sapiens,B,9,HERG,CHEMBL240
CN(C)CCC(c1ccc(Cl)cc1)c2ccccn2,10358,CHEMBL505,=,20892.960000000000000000000000000000,IC50,nM,Inhibition of human Potassium channel HERG expressed in mammalian cells,Homo sapiens,B,9,HERG,CHEMBL240
OC1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)c3ccc(Cl)cc3,3859,CHEMBL54,=,30.200000000000000000000000000000,IC50,nM,Inhibition of human Potassium channel HERG expressed in mammalian cells,Homo sapiens,B,9,HERG,CHEMBL240
CN(C1CCN(CC1)c2nc3ccccc3n2Cc4ccc(F)cc4)C5=NC=CC(=O)N5,152819,CHEMBL94454,=,436.520000000000000000000000000000,IC50,nM,Inhibition of human Potassium channel HERG expressed in mammalian cells,Homo sapiens,B,9,HERG,CHEMBL240
COc1ccc(cc1OC)C(=O)N2CCN(CC2)c3ccc4NC(=O)CCc4c3,19062,CHEMBL17423,=,1096.480000000000000000000000000000,IC50,nM,Inhibition of human Potassium channel HERG expressed in mammalian cells,Homo sapiens,B,9,HERG,CHEMBL240
Cl.OC(C1CCCCN1)c2cc(nc3c(cccc23)C(F)(F)F)C(F)(F)F,543171,CHEMBL535650,=,5623.410000000000000000000000000000,IC50,nM,Inhibition of human Potassium channel HERG expressed in mammalian cells,Homo sapiens,B,9,HERG,CHEMBL240
OC(=O)C1=CN(C2CC2)c3cc(N4CCNCC4)c(F)cc3C1=O,241,CHEMBL8,=,954992.590000000000000000000000000000,IC50,nM,Inhibition of human Potassium channel HERG expressed in mammalian cells,Homo sapiens,B,9,HERG,CHEMBL240
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24,2261,CHEMBL42,=,323.590000000000000000000000000000,IC50,nM,Inhibition of human Potassium channel HERG expressed in mammalian cells,Homo sapiens,B,9,HERG,CHEMBL240
Clc1ccc2Nc3ccccc3C(=Nc2c1)N4CCNCC4,62934,CHEMBL845,=,4466.840000000000000000000000000000,IC50,nM,Inhibition of human Potassium channel HERG expressed in mammalian cells,Homo sapiens,B,9,HERG,CHEMBL240
CSc1ccc2Sc3ccccc3N(CCC4CCCCN4C)c2c1,5970,CHEMBL479,=,363.080000000000000000000000000000,IC50,nM,Inhibition of human Potassium channel HERG expressed in mammalian cells,Homo sapiens,B,9,HERG,CHEMBL240
CN(C)CCCN1c2ccccc2Sc3ccc(Cl)cc13,6216,CHEMBL71,=,1479.110000000000000000000000000000,IC50,nM,Inhibition of human Potassium channel HERG expressed in mammalian cells,Homo sapiens,B,9,HERG,CHEMBL240
CNCCC(Oc1ccc(cc1)C(F)(F)F)c2ccccc2,2223,CHEMBL41,=,1513.560000000000000000000000000000,IC50,nM,Inhibition of human Potassium channel HERG expressed in mammalian cells,Homo sapiens,B,9,HERG,CHEMBL240
CCCCc1oc2ccccc2c1C(=O)c3cc(I)c(OCCN(CC)CC)c(I)c3,27185,CHEMBL633,=,10000.000000000000000000000000000000,IC50,nM,Inhibition of human Potassium channel HERG expressed in mammalian cells,Homo sapiens,B,9,HERG,CHEMBL240
CN1CCN(CCCCN2C(=O)CN(\N=C\c3oc(cc3)c4ccc(Cl)cc4)C2=O)CC1,208679,CHEMBL123558,=,1412.540000000000000000000000000000,IC50,nM,Inhibition of human Potassium channel HERG expressed in mammalian cells,Homo sapiens,B,9,HERG,CHEMBL240
COc1c(N2CCNC(C)C2)c(F)cc3C(=O)C(=CN(C4CC4)c13)C(=O)O,1712,CHEMBL31,=,128824.960000000000000000000000000000,IC50,nM,Inhibition of human Potassium channel HERG expressed in mammalian cells,Homo sapiens,B,9,HERG,CHEMBL240
CC(C)(C)c1ccc(cc1)C(O)CCCN2CCC(CC2)C(O)(c3ccccc3)c4ccccc4,19569,CHEMBL17157,=,199.530000000000000000000000000000,IC50,nM,Inhibition of human Potassium channel HERG expressed in mammalian cells,Homo sapiens,B,9,HERG,CHEMBL240
CC1CN(CCN1)c2cc3N(C=C(C(=O)O)C(=O)c3c(C)c2F)C4CC4,17136,CHEMBL583,=,50118.720000000000000000000000000000,IC50,nM,Inhibition of human Potassium channel HERG expressed in mammalian cells,Homo sapiens,B,9,HERG,CHEMBL240
CCCc1nn(C)c2C(=O)NC(=Nc12)c3cc(ccc3OCC)S(=O)(=O)N4CCN(C)CC4,410802,CHEMBL192,=,3311.310000000000000000000000000000,IC50,nM,Inhibition of human Potassium channel HERG expressed in mammalian cells,Homo sapiens,B,9,HERG,CHEMBL240
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,1216,CHEMBL22,=,239883.290000000000000000000000000000,IC50,nM,Inhibition of human Potassium channel HERG expressed in mammalian cells,Homo sapiens,B,9,HERG,CHEMBL240
COc1ccc(cc1)[C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(=O)C,1278,CHEMBL23,=,17378.010000000000000000000000000000,IC50,nM,Inhibition of human Potassium channel HERG expressed in mammalian cells,Homo sapiens,B,9,HERG,CHEMBL240
OC(=O)COCCN1CCN(CC1)C(c2ccccc2)c3ccc(Cl)cc3,111185,CHEMBL1000,=,30199.520000000000000000000000000000,IC50,nM,Inhibition of human Potassium channel HERG expressed in mammalian cells,Homo sapiens,B,9,HERG,CHEMBL240
CN(C)CCOC(c1ccccc1)c2ccccc2,27629,CHEMBL657,=,26915.350000000000000000000000000000,IC50,nM,Inhibition of human Potassium channel HERG expressed in mammalian cells,Homo sapiens,B,9,HERG,CHEMBL240
CC(=O)N1CCN(CC1)c2ccc(OC[C@@H]3CO[C@](Cn4ccnc4)(O3)c5ccc(Cl)cc5Cl)cc2,72036,CHEMBL295698,=,1905.460000000000000000000000000000,IC50,nM,Inhibition of human Potassium channel HERG expressed in mammalian cells,Homo sapiens,B,9,HERG,CHEMBL240
COc1ccc(CCN(C)CCCC(C#N)(C(C)C)c2ccc(OC)c(OC)c2)cc1OC,1219,CHEMBL6966,=,141.250000000000000000000000000000,IC50,nM,Inhibition of human Potassium channel HERG expressed in mammalian cells,Homo sapiens,B,9,HERG,CHEMBL240
CNCCCN1c2ccccc2CCc3ccccc13,6243,CHEMBL72,=,1513.560000000000000000000000000000,IC50,nM,Inhibition of human Potassium channel HERG expressed in mammalian cells,Homo sapiens,B,9,HERG,CHEMBL240
CC1=C(CCN2CCC(CC2)c3noc4cc(F)ccc34)C(=O)N5CCCCC5=N1,7714,CHEMBL85,=,151.360000000000000000000000000000,IC50,nM,Inhibition of human Potassium channel HERG expressed in mammalian cells,Homo sapiens,B,9,HERG,CHEMBL240
COc1ccc(CCN2CCC(CC2)Nc3nc4ccccc4n3Cc5ccc(F)cc5)cc1,65605,CHEMBL296419,=,10.000000000000000000000000000000,IC50,nM,Inhibition of human Potassium channel HERG expressed in mammalian cells,Homo sapiens,B,9,HERG,CHEMBL240
CN1CCC[C@H]1c2cccnc2,115,CHEMBL3,=,245470.890000000000000000000000000000,IC50,nM,Inhibition of human Potassium channel HERG expressed in mammalian cells,Homo sapiens,B,9,HERG,CHEMBL240
Fc1ccc(cc1)C(CCCN2CCC(CC2)N3C(=O)Nc4ccccc34)c5ccc(F)cc5,364141,CHEMBL1423,=,50.120000000000000000000000000000,IC50,nM,Inhibition of human Potassium channel HERG expressed in mammalian cells,Homo sapiens,B,9,HERG,CHEMBL240
Fc1ccc(cc1)n2cc(C3CCN(CCN4CCNC4=O)CC3)c5cc(Cl)ccc25,10813,CHEMBL12713,=,10.000000000000000000000000000000,IC50,nM,Inhibition of human Potassium channel HERG expressed in mammalian cells,Homo sapiens,B,9,HERG,CHEMBL240
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O)OC,570147,CHEMBL1741,=,58884.370000000000000000000000000000,IC50,nM,Inhibition of human Potassium channel HERG expressed in mammalian cells,Homo sapiens,B,9,HERG,CHEMBL240
COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc4C(=O)C(=CN(C5CC5)c14)C(=O)O,1788,CHEMBL32,=,128824.960000000000000000000000000000,IC50,nM,Inhibition of human Potassium channel HERG expressed in mammalian cells,Homo sapiens,B,9,HERG,CHEMBL240
