Internal ID,Vendor ID,SMILES,CollectionName,logS
Mol30,36557633,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,emolecules,1.538196578
Mol31,1447149,CC(C)(C)c1ccc(-c2nc3n(c(=O)c2C#N)CCS3)cc1,emolecules,0.397940009
Mol33,LN01345100,CC#CC(=O)N1CC[C@@H](n2c(=O)n(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,labnetworkBB,1.810232518
Mol35,68868488,C=CC(=O)N1CCC[C@H](n2c(=O)n(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,emolecules,1.75089392
Mol36,316276642,CC(C)(C=C(C#N)C(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3F)c3c(N)ncnc32)C1)N1CCN(C2COC2)CC1,emolecules,1.553276046
Mol37,324043470,CC#CC(=O)N1CC[C@@H](n2cc(-c3ccc(Oc4c(F)cccc4F)cc3)c3c(N)n[nH]c(=O)c32)C1,emolecules,0.431363764
Mol39,252308493,C[C@@H]1c2nnn(-c3ncc(F)cn3)c2CCN1C(=O)c1cccc(C(F)(F)F)c1Cl,emolecules,1.548389418
Mol40,32130783,COc1ccccc1-c1cc(NC(=O)c2cccc(N3CCNC3=O)c2)[nH]n1,emolecules,0.774516966
Mol41,202119,Nc1ncc(-c2cccc(C(F)(F)F)c2)c(C2CCCCN2C(=O)c2ccccc2)n1,emolecules,1.399673721
Mol42,110118917,O=C(Nc1cccc(-c2nncn2C2CC2)c1)c1cc(-n2cnc(C3CC3)c2)ccn1,emolecules,1.653212514
Mol43,207447,Fc1ccccc1-c1c[nH]nc1C1CCCN1Cc1ccc2ncccc2c1,emolecules,1.465382851
Mol44,313516892,Cc1nccc(-c2cn(Cc3ccccc3)c3cnccc23)n1,emolecules,1.527333397
Mol45,168892617,CCc1nc(C)cn2nc(-c3cc(=O)n4cc(C5CCN(C)CC5)cc(C)c4n3)cc12,emolecules,1.247359422
Mol46,313548577,Cc1c(Cl)ccc2cc3n(c12)[C@@H](C)CNC3=O,emolecules,1.522444234
Mol47,49863827,Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)nn2[C@@H]1CCCNC1,emolecules,1.601516784
Mol48,53790787,Cc1nnc(CN(C)CC(C)Oc2ccc(Cl)c(Cl)c2)n1C,emolecules,1.51851394
Mol49,45816980,COc1nn(C)cc1C(=O)Nc1cccc(-c2cnc3n2CCC3)c1,emolecules,1.559308011
Mol50,89942308,COc1cc(F)ccc1-c1ncnc(Nc2cccc(C[S@@](C)(=N)=O)c2)n1,emolecules,1.729974286
Mol51,48239418,Cc1ncc(CN2CC[C@@H](Nc3cncc(Cl)n3)[C@@H](C)C2)s1,emolecules,1.722633923
Mol52,139133,Cc1ccc(C(=O)N2CCC(Cc3ccccc3-c3ccccc3)(C(=O)N(C)C)CC2)s1,emolecules,1.376576957
Mol53,89942282,CCc1nc2c(C)cc(N3CCN(CC(=O)N4CC(O)C4)CC3)cn2c1N(C)c1nc(-c2ccc(F)cc2)c(C#N)s1,emolecules,1.780317312
Mol54,28294753,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,emolecules,1.614833965
Mol55,139117,CN(C)C(=O)C1(Cc2ccccc2-c2ccccc2)CCN(C(=O)C2CCCO2)CC1,emolecules,1.924795996
Mol56,202525,CC(=O)Nc1ccc(C(=O)N2CCCCC2c2nc(N)ncc2-c2ccc(Cl)cc2)cc1,emolecules,1.761927838
Mol57,202527,CC(=O)Nc1ccc(C(=O)N2CCCCC2c2nc(N)ncc2-c2cccc(Cl)c2)cc1,emolecules,1.759667845
Mol58,31929526,O=C1CN(c2ccc(Nc3nccc(C(F)(F)F)n3)cn2)CCN1,emolecules,1.710117365
Mol59,189638257,O=C1NCCN(C(=O)c2ccc3nccn3c2)C1c1ccccc1C(F)(F)F,emolecules,1.84260924
Mol60,189741166,Cc1cc(F)ccc1C1C(=O)NCCN1C(=O)c1ccc2nccn2c1,emolecules,1.793790385
Mol61,49311027,O=C1NCCN(C(=O)c2ccncc2)C1c1ccccc1Cl,emolecules,1.645422269
Mol62,1284751,C[C@H]1CN(C(=O)CC(c2ccccc2)c2ccccc2)C[C@@H](C)O1,emolecules,1.718667735
Mol63,299989682,CN1[C@H]2CC[C@@H]1C[C@@H](OC(c1ccccc1)c1ccccc1)C2,emolecules,1.716837723
Mol64,140075,CC(C)(C)C(=O)N1CCC(Cc2ccc(-c3cccs3)cc2)(C(=O)N2CCCC2)CC1,emolecules,1.361727836
Mol65,49901113,OC[C@H](Nc1cncc(-c2ccc3[nH]ncc3n2)c1)c1ccccc1,emolecules,1.514149134
Mol66,200967,Cc1ncsc1C(=O)N1CCCCC1c1nc(N(C)C)ncc1-c1cccc(Cl)c1,emolecules,1.260071388
Mol67,32236728,OCC1CCCCN1Cc1ccc(Cl)c(Cl)c1,emolecules,1.62324929
Mol68,48337674,CC(=O)N1CCN(c2nc(C(F)(F)F)nc3sc(C)c(C)c23)CC1,emolecules,1.710117365
Mol69,180601629,COc1ccccc1C(=O)Nc1ccc2cc[nH]c2c1,emolecules,0.69019608
Mol70,17268136,c1ccc(Oc2cccc(CN(CCN3CCOCC3)Cc3cccnc3)c2)cc1,emolecules,1.824125834
Mol71,32449297,COc1ccc([C@H]2CN(C(C)=O)[C@@H]3CCCN(Cc4cccc(F)c4)[C@H]23)cc1,emolecules,1.653212514
Mol72,324071118,Cc1c(C(=O)NCCCN(C)C)sc2ncnc(Nc3ccc(F)cc3OC(C)C)c12,emolecules,1.372175286
Mol73,2066408,OCC1CCCCN1Cc1ccc(-c2ccccc2)cc1,emolecules,1.620136055
Mol74,89942016,Nc1ncc(C(=O)NC2CN(C(=O)C3CC3)C2)c2ccc(-c3cccc(F)c3)nc12,emolecules,0.880813592
Mol75,72973189,CC1(C)CC(Oc2ccc(-c3ccc(-c4cn[nH]c4)cc3O)nn2)CC(C)(C)N1,emolecules,1.11058971
Mol76,32234428,Cc1nnc(-c2ccc3occ(-c4ccc(S(C)=O)cc4)c3c2)o1,emolecules,1.651278014
Mol77,202517,Cc1ncsc1C(=O)N1CCCCC1c1nc(N)ncc1-c1cccc(C(F)(F)F)c1,emolecules,1.155336037
Mol78,45636709,O=C(Nc1ccc2ccccc2n1)c1ccc(N2CCOC2=O)cc1,emolecules,0.45484486
Mol79,104447483,O=C(CCNC(=O)c1ccc(OC(F)(F)F)cc1)N[C@@H]1CCCc2ccccc21,emolecules,0.662757832
Mol80,300003450,O=S(=O)(c1cccc2cnccc12)N1CCCNCC1,emolecules,1.780605306
Mol81,317744209,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3)nc3ccoc23)c1,emolecules,1.456366033
Mol82,13329354,CCN1CCN(S(=O)(=O)Cc2ccc(Cl)c(Cl)c2)CC1,emolecules,1.409764104
Mol83,49837463,O=C(Nc1nc2cccc(-c3ccc(CN4CCS(=O)(=O)CC4)cc3)n2n1)C1CC1,emolecules,1.673020907
Mol84,316273071,CCn1c(CO)nn(-c2cc(O[C@@H](C)C(F)(F)F)c(C(=O)Nc3c(F)cccc3Cl)cc2F)c1=O,emolecules,1.82672252
Mol85,49259954,CCN(C/C=C\c1ccc(C2CCCCC2)c(Cl)c1)C1CCCCC1,emolecules,0.819543936
Mol86,317503340,NCCN1CCN(C/C=C/C(=O)N2CCC[C@@H](n3nc(-c4ccc(Oc5ccccc5)cc4)c4c(N)ncnc43)C2)CC1,emolecules,1.480006943
Mol87,44507855,Cn1c(C2CC2)nc2c1CCN(c1ncnc3ccsc13)C2,emolecules,1.702430536
Mol88,LN00198968,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,labnetworkBB,0.720159303
Mol89,319760048,COc1nn(C)cc1C(=O)Nc1cccc2cnccc12,emolecules,1.607455023
Mol90,393556,CNC(=O)C1(Cc2ccc(-c3ccncc3)cc2)CCN(Cc2cccc(F)c2)C1,emolecules,1.759667845
Mol140,313513564,CC1CCN([C@H](c2ccc(F)cc2)c2ccc([C@@H](C)C(=O)O)cc2-c2ccc(C(F)(F)F)cc2)CC1,emolecules,1.596926814
Mol143,32021190,O=C1CCC(=O)N1Cc1nc(C23CC4CC(CC(C4)C2)C3)cs1,emolecules,1.630936119
Mol144,Z29433525,O=C(Nc1nc2c(s1)COc1ccccc1-2)c1cnc(Cl)c(Cl)c1,enamineHTS,0.568201724
Mol147,301048201,CC(C)(C)c1ccc(C(=O)Nc2cn3cc(-n4ccnc4)ccc3n2)cc1,emolecules,0.439332694
Mol148,106928257,O=C(Nc1nc2cc(C(F)(F)F)cc(NC3CC3)n2n1)c1cccnc1,emolecules,0.041392685
Mol149,315276693,COc1cc(Nc2cc(-c3cccc(C#N)c3)ccn2)ccc1N1CCN(C)CC1,emolecules,1.660865478
Mol153,95696282,CC[C@H]1[C@@H](COc2nccc3cc(C(N)=O)c(OC)cc23)NC(=O)[C@H]1F,emolecules,1.729002709
Mol154,89942320,C[C@@]1(c2ncncc2F)NC(=O)c2cc(-c3cn[nH]c3)ccc21,emolecules,1.573741642
Mol155,71008775,Cc1cc(F)c(C(=O)Nc2cccc(-c3nncn3C(C)C)n2)cc1-n1cnc(C2CC2)c1,emolecules,1.811239773
Mol157,104336645,C[C@H]1CN(C2COC2)CCN1c1ccc(Nc2cc(-c3ccnc(N4CCn5c(cc6c5CC(C)(C)C6)C4=O)c3CO)cn(C)c2=O)nc1,emolecules,1.663229635
Mol158,315272596,Nc1ncc(-c2cc(C3C4CN(C5COC5)CC43)n(CC3CC3)n2)cc1C(F)(F)F,emolecules,0.484299839
Mol160,46339059,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OCCOC)cc3)ncc2F)c1,emolecules,0.579783597
Mol162,320405235,C=CC(=O)N(C)CCOc1c(N)ncnc1-c1cc(F)cc(NC(=O)c2ccc(C3CC3)cc2F)c1C,emolecules,1.770115295
Mol164,317451564,N#CN1CCC[C@H](n2nc(-c3ccc(Oc4ccc(F)cc4F)cc3)c(C(N)=O)c2N)C1,emolecules,1.555094449
Mol165,313519451,CC(=O)NCCNc1cc(Cl)nn2c(-c3cccc(S(=O)(=O)N(C)C)c3)c(C)nc12,emolecules,1.660960292
Mol166,35732653,Cc1c[nH]c(=O)n1-c1ccc(C(=O)Nc2ccc3ccccc3n2)cc1,emolecules,0.770852012
Mol167,42768719,CNC(=O)c1cccc(NC(=O)N2CCC(Oc3ccccc3Cl)CC2)c1,emolecules,1.837525309
Mol168,11480017,COc1ccc(OCC(=O)Nc2cccc(Cl)c2N2CCN(C(C)=O)CC2)cc1,emolecules,0.672097858
Mol169,2057338,c1ccc(-c2ccc(CN3CCCCCCC3)cc2)cc1,emolecules,0.977723605
Mol170,11480019,CC(=O)N1CCN(c2c(Cl)cccc2NC(=O)COc2ccccc2Cl)CC1,emolecules,1.290034611
Mol173,5514552,O=C(c1sc(N2CCOCC2)nc1-c1ccccc1)N1CCCCC1,emolecules,1.766115283
Mol174,36571105,Cc1ccccc1-c1nc(Cn2ccnc2C(C)C)c(C)o1,emolecules,1.690284703
Mol175,36427432,CCc1nc2cc(-c3c(OC)cccc3OC)ccc2o1,emolecules,1.279210513
Mol176,73036824,O=C(C1CCC(O)CC1)N1CCCN(c2ccc(F)cc2)CC1,emolecules,1.906873535
Mol177,32409538,CCn1ncnc1-c1[nH]cnc1-c1ccccc1,emolecules,1.362293938
Mol178,31890078,Cc1nnc(NCCc2ccc3c(c2)OCO3)c(C#N)c1C,emolecules,1.350248018
Mol179,49994071,Cc1nc(N2CCn3ccnc3C2)c2cnn(C)c2n1,emolecules,1.517063873
Mol180,31930262,Cc1cc(CN(C)Cc2cscn2)no1,emolecules,1.457124626
Mol181,32132063,Cc1occc1C(=O)NCC(=O)Nc1nc2cc(Cl)ccc2n1C,emolecules,1.434568904
Mol182,13475108,CCNC(=O)c1ccc(CS(C)(=O)=O)cc1,emolecules,1.611723308
Mol183,31209008,c1ccc(-c2noc(NC3CC3)n2)cc1,emolecules,1.451786436
Mol184,Z224124934,Cc1nn(C)c2sc(C(=O)N3CCC(C(=O)O)(c4ccccc4)CC3)cc12,enamineHTS,1.867644234
Mol185,300620222,CCN(CC)Cc1ccc2cc(COC(=O)Nc3ccc(C(=O)NO)cc3)ccc2c1,emolecules,1.89187183
Mol186,33312761,O=C(NCC1(c2ccc(F)cc2)CCOCC1)c1ccccn1,emolecules,1.69862243
Mol187,1552730,COc1cc(OC)cc(-c2nnc(SCC(=O)Nc3cccc(C(=O)O)c3)s2)c1,emolecules,1.591064607
Mol188,18877730,O=C(CSc1nccn1C1CC1)Nc1c(Cl)cc(Cl)cc1C(=O)O,emolecules,0.385606274
Mol189,32093544,CCN1CCC(CNC(=O)c2cc(C)nc3cc(F)ccc23)CC1,emolecules,1.57054294
Mol190,31384184,COc1ccc(CCC(=O)N2CCCNCC2)cc1,emolecules,1.552668216
Mol191,425680,Cc1cc(-c2cnn(CCNC(=O)c3sc(C)nc3C)c2C2CC2)on1,emolecules,1.826851948
Mol192,30400370,O=C(CSc1nc2nc(O)cc(O)c2s1)c1ccc(-c2ccccc2)cc1,emolecules,0.84509804
Mol193,36675429,C#CCNC(=O)CN1CCCN(C(=O)c2cccc(C)n2)CC1,emolecules,1.562530769
Mol194,48247380,CN(C)c1ccc2c(c1)OCCN2C(=O)NCc1cccnc1,emolecules,1.682325619
Mol195,32080176,O=C(NCc1ccc(CO)c(F)c1)Nc1ccccc1,emolecules,1.546542663
Mol196,44712587,CCCOc1ccccc1C(=O)N1CC(Oc2cccc(OC)c2)C1,emolecules,1.626340367
Mol197,29621147,O=C(c1ccc(-n2cccn2)nc1)N1CCN(c2ccccc2O)CC1,emolecules,1.62838893
Mol198,4017382,COc1ccc(CCNCc2ccc(-c3ccccc3)o2)cc1OC,emolecules,1.870813424
Mol199,42907173,CSCC(=O)N1CCN(C(=O)CSC)C2(CCCCC2)C1,emolecules,1.703549298
Mol200,24501994,CCCCNC(=O)c1cccc2ncccc12,emolecules,1.467312063
Mol201,30455849,COc1cccc(OCCCn2cncc2-c2cc3c(cc2C)n(C)c(=O)n3C)c1,emolecules,1.743274524
Mol202,32063538,Cc1ccc(C(=O)N2CCN(C(=O)NCC(=O)N3CCCC3)CC2)cc1F,emolecules,1.87875152
Mol203,11964390,COC(=O)c1c(C)[nH]c(C(=O)N(C)Cc2ccc(OC)c(F)c2)c1C,emolecules,1.674585602
Mol204,49292072,Cc1cc(OCC(=O)N(C)C2CCCCCCC2)no1,emolecules,1.642068627
Mol205,73032016,CC(C)CNc1nnc(SCc2ccncc2)s1,emolecules,1.680788612
Mol206,24884318,COc1c(C)cccc1CN1CCC(O)(c2ccc(F)cc2)CC1,emolecules,1.59900924
Mol207,17091023,Cc1nn(-c2ccc(C(=O)O)cc2C#Cc2ccccc2)c(C)c1C,emolecules,1.666424373
Mol208,161275,Cc1cc(C)nc(Nc2ccc(C3CCCN(CC(=O)N4CCCC4)C3)nc2)n1,emolecules,1.823637222
Mol209,31341416,CCc1nc2ccccc2n1CC(=O)N1CCNC(=O)C1,emolecules,1.704150517
Mol210,48547363,O=C1Nc2ccccc2O[C@H]2C[C@@H]1N(CC1CC1)C2,emolecules,1.624282096
Mol211,49646610,CCN(C/C=C/c1ccc(F)cc1)Cc1nc(COC)no1,emolecules,1.504742636
Mol212,1296389,CC(=O)Nc1ccc2nc(C)cc(O)c2c1,emolecules,1.587710965
Mol213,318302594,O=C(NC[C@@H]1CCN(c2ccccc2)C1)N1CCc2ccccc2C1,emolecules,1.075546961
Mol214,31959693,CC1CCN(CCNC(=O)c2ccncc2)CC1,emolecules,1.533899101
Mol215,35701590,CCN1CCC(N(C)c2ncnc3c2cnn3C)CC1,emolecules,1.614897216
Mol216,36303318,CN(CC#N)C(=O)c1cccc(CN2CCCC2)c1,emolecules,1.543074235
Mol217,146921,Cc1cc2nc(CCC(=O)N3CCC(c4ccc(C(=O)N(C)C)c(N)n4)CC3)[nH]c2cc1C,emolecules,1.59835271
Mol218,250347,O=C(c1cc2ccccc2[nH]1)N1C[C@@H](O)[C@H](N2CCOCC2)C1,emolecules,1.658869592
Mol219,25002833,CNC(=O)C1CCN(Cc2ncc(-c3ccc(F)cc3)o2)CC1,emolecules,1.29666519
Mol220,2877070,COc1ccc(C)cc1NC(=O)CN1CCc2ccccc2C1,emolecules,1.191171456
Mol221,33297597,O=C(CCOc1ccccc1)N1CCCC1,emolecules,1.589949601
Mol222,48234480,c1ccc(-c2n[nH]c(C3CCN(c4ccccn4)CC3)n2)cc1,emolecules,1.536558443
Mol223,11480138,COc1ccc(-n2cc3c(c2-c2ccccc2Br)c(=O)n(C)c(=O)n3C)cc1,emolecules,0.691965103
Mol224,32065258,CC(=O)N1CCC[C@H]1C(=O)Nc1cccc(OC(F)F)c1,emolecules,1.671635597
Mol225,49874322,COc1ccc(CN2CCC(c3nc(C(C)C)no3)CC2)c(F)c1,emolecules,1.67329744
Mol226,35762297,Cc1nnc(NCC(=O)N2CCc3sccc3C2)c(C#N)c1C,emolecules,1.553883027
Mol227,49915301,CCNC(=O)C1CN(c2cccc(C#N)n2)C1,emolecules,1.632558515
Mol228,25737863,O[C@@H]1C[C@@H](c2nc(-c3ccccc3)no2)N(Cc2ccccc2)C1,emolecules,1.619093331
Mol229,137015,CCCn1cc(C(=O)N2CCC(c3n[nH]cc3C(=O)N(C)Cc3ccccc3)CC2)cn1,emolecules,1.656098202
Mol230,46615054,c1ccc(CO[C@@H]2CCC[C@H]2n2cc(-c3nccs3)nn2)cc1,emolecules,1.195346058
Mol231,3347988,Cc1cc(C(=O)N(C)Cc2ccc(Br)cc2)no1,emolecules,1.80611211
Mol232,8296397,NCc1cccc(C(=O)N2CCCC2)c1,emolecules,1.404833717
Mol233,48806523,Cc1ncsc1CN1CCCN(c2nc3ccccc3[nH]2)CC1,emolecules,1.714916248
Mol234,24121680,Cc1ccccc1CNC(=O)c1ccc(-n2ccnc2)nc1,emolecules,1.639386869
Mol235,24121594,O=C(NCc1cnn(-c2ccccc2)c1)C1CCC1,emolecules,1.501196242
Mol236,33303147,CNC(=O)c1ccc(N2CCCC2)nc1,emolecules,1.540329475
Mol237,29578498,Cc1cc(C)nc(N(C)CC(=O)NC2CC2)n1,emolecules,1.542825427
Mol238,29578860,Cc1cc(C(=O)Nc2cccc3ncccc23)on1,emolecules,1.656768779
Mol239,49993241,CN(c1ncnc2c1cnn2CCO)C1CCCCC1,emolecules,1.650307523
Mol240,44811748,NS(=O)(=O)OC[C@@H]1C[C@@H](n2ccc3c(N[C@H]4CCc5ccccc54)ncnc32)C[C@@H]1O,emolecules,1.646893624
Mol241,31968180,CN1CCN(c2ccc(NC(=O)c3ccccc3Cl)nc2)CC1,emolecules,1.660486016
Mol242,48304378,Cc1cc(OCc2ncc(C(C)(C)C)o2)nn1C,emolecules,1.266936911
Mol243,48237764,Clc1cccc(CNc2nc(C3CC3)no2)c1,emolecules,1.466719372
Mol244,410858,Cc1ccc(-c2nc(NCc3ccco3)ncc2-c2cc(C)no2)cn1,emolecules,1.012837225
Mol245,329500,O=C(c1ccccc1F)N1CCC[C@@H]1Cn1nnn(-c2cccs2)c1=O,emolecules,1.51851394
Mol246,49953876,COc1nc(C)nc(N(C)Cc2nccs2)c1C,emolecules,1.473778835
Mol247,36308604,O=C(c1ccc2c(c1)OCO2)N1CCC(c2n[nH]c(C3CC3)n2)CC1,emolecules,1.432006687
Mol248,27415022,CN(Cc1cccc(C#N)c1)Cc1ccccc1C#N,emolecules,1.467756051
Mol249,45649160,CN1CCN(Cc2noc(Cc3ccccc3)n2)c2ccccc21,emolecules,1.149219113
Mol250,24883078,COc1ccc(C2(NCc3ccc(N4CCCC4=O)cc3)CC2)cc1,emolecules,1.911317442
Mol251,150563,O=C(c1cccnc1)N1CCCC(c2cccc(-c3cccc(Cl)c3)n2)C1,emolecules,1.555698895
Mol252,48247166,CNC(=O)c1ccc(N(C)C2CCC2)nn1,emolecules,1.674585602
Mol253,48758418,CC#CCNc1ccc(-n2cnnn2)c(C)c1,emolecules,1.28780173
Mol254,830565,Nc1nc2ccccc2nc1N1CCCC1,emolecules,1.474944335
Mol255,1539589,CCn1c(=O)n(CC)c2cc(N)ccc21,emolecules,1.574031268
Mol256,48613632,Cc1cc(N2CCCCC2)nc(CNC(=O)c2ccccc2Cl)n1,emolecules,1.81391442
Mol257,48613628,COc1ccccc1C(=O)NCc1nc(C)cc(N2CCCCC2)n1,emolecules,1.825945143
Mol258,43805996,CCc1nnc(NC(=O)Cc2cccc(F)c2)s1,emolecules,1.086359831
Mol259,15275058,O=C(CN1CCCN(c2ccc(C(F)(F)F)cn2)CC1)Nc1ccccc1F,emolecules,1.288919606
Mol260,16678763,Cc1cccc(NC(=O)CN2CCCN(c3ccc(C(F)(F)F)cn3)CC2)c1,emolecules,1.409933123
Mol261,43643219,O=C(CN1CCCN(c2nccs2)CC1)Nc1cccc(Cl)c1,emolecules,1.569958818
Mol262,36647090,COc1ccccc1NC(=O)CN1CCCN(c2nc(C)cs2)CC1,emolecules,1.74390155
Mol263,33324457,CC(C)(C)c1cc(NC(=O)c2cccc3cn[nH]c23)[nH]n1,emolecules,0.250420002
Mol264,35986174,Cc1ccccc1OCCCNc1cc(Cn2c(C)nc3ccccc32)nc(N)n1,emolecules,1.159567193
Mol265,151085,COc1ccc(-c2cccc(C3CCCN(CC(=O)Nc4ccccn4)C3)n2)cc1,emolecules,0.908485019
Mol266,31931312,O=C1CCCN1CCc1nc(-c2ccc3[nH]c(=O)oc3c2)cs1,emolecules,1.770778396
Mol267,48339568,Cc1noc(C)c1C(=O)N1CCCN(c2ccc(F)cc2)CC1,emolecules,1.745074792
Mol268,48761324,COCC1CCN(c2noc(-c3cccs3)n2)CC1,emolecules,1.109578547
Mol269,33297195,NC(=O)COc1ccccc1-c1ccccc1,emolecules,1.59117595
Mol270,46034633,Cc1nc(C)c(C)c(NCc2cc(-c3ccc(F)cc3)no2)n1,emolecules,1.573567773
Mol271,42961554,Cc1cccn(Cc2cccc(F)c2)c1=O,emolecules,1.377488383
Mol272,31856266,C[C@@H](C(=O)N1CCCC1)N1CCC(n2c(=O)[nH]c3ccccc32)CC1,emolecules,1.60906055
Mol273,72973342,Cn1cc(-c2ccc(-c3cncc(Cl)c3N3CCC4(CCNC4=O)CC3)cc2)cn1,emolecules,0.492760389
Mol274,23816897,Cc1ccc(-c2cn(CC3CCN(Cc4c[nH]c(C)n4)CC3)nn2)cc1,emolecules,1.397940009
Mol275,24126665,Clc1ccc2c(Oc3cccnc3)ncnc2c1,emolecules,1.5984622
Mol276,13331036,CC(C)(C)c1csc(NC(=O)C2CC2)n1,emolecules,1.465977368
Mol277,23671374,Cc1ccc(C(=O)Nc2ncccc2C)s1,emolecules,1.5774918
Mol278,37009025,CC(C)(C)C(=O)N1CCN(C(=O)CCN2CCOC2=O)CC1,emolecules,1.797267541
Mol279,151211,COc1ccc(Cc2cccc(C3CCN(C(=O)C4CCCC4)CC3)n2)cc1,emolecules,1.412124406
Mol280,6116580,O=C([C@H]1CCCN(Cc2ccc(Cl)cc2)C1)N1CCc2ccccc2C1,emolecules,1.635986112
Mol281,16159378,O=C(Cn1c(=O)c2cccn2c2ccccc21)NCCCN1CCCC1,emolecules,1.7182525
Mol282,44107241,O=C(CCCc1nnc(-c2ccccc2)o1)Nc1cccc2ccccc12,emolecules,0.117271296
Mol283,32106016,CN(CC(=O)NC1(C#N)CCCCC1)c1cccc(C#N)c1,emolecules,1.306853749
Mol284,32127001,Cc1nc(C2(NCc3cccc(C#N)c3)CCCC2)no1,emolecules,1.677971753
Mol285,49330331,CN(CCC1CCCCC1)C(=O)c1ccon1,emolecules,1.84460142
Mol286,32176681,CN(C)Cc1cccc(N/C(=C2\C(=O)Nc3cc(C(=O)N(C)C)ccc32)c2ccccc2)c1,emolecules,1.817300878
Mol287,300525339,CC(C)c1cnn2c(NCc3ccccc3)cc(NCCCCCCN)nc12,emolecules,1.698535493
Mol288,17400188,COc1cc(C(C)C)c2c(c1)S(=O)(=O)N(COc1cc(=O)n3cccc(OCCN4CCCCC4)c3n1)C2=O,emolecules,1.727459921
Mol289,30151761,O=C(O)c1ccc(N2CCCC2)c(F)c1,emolecules,1.435844366
Mol290,20173881,Cc1cc(C)cc(Oc2cc(C#N)ccn2)c1,emolecules,0.98811284
Mol291,42923335,Cc1cc(NC(=O)C2CCOCC2)sn1,emolecules,1.751817788
Mol292,300449850,O=C(CC1CCNCC1)NCCc1ccccc1F,emolecules,1.767081621
Mol293,29566339,N#Cc1ccc(-c2csc(CCN3CCCC3=O)n2)cc1,emolecules,1.398981067
Mol294,32391674,N#Cc1cccc(CN2CCC=C(CNC(=O)c3cccs3)C2)c1,emolecules,1.718086295
Mol295,44551318,CON(C)C(=O)c1cc(C)ccc1NS(C)(=O)=O,emolecules,1.522313795
Mol296,Z1169976242,C#CCN1CCC(c2nc(Cc3noc(C)n3)no2)CC1,enamineHTS,1.695043659
Mol297,36256386,Cc1ccc(Cn2nccc2NC(=O)c2ccncc2)o1,emolecules,1.525951341
Mol298,44402919,NC(=O)Cn1cc(-c2ccc(F)cc2)cn1,emolecules,1.446692466
