ligand_id,SMILES,dG_bind,dG_bind_err
36,O=C(Nc1ccnc(NC(=O)C2CC2)c1)c1cccc(Cl)c1F,0.608,0.443
37,Nc1ccc(Cl)c(C(=O)Nc2ccnc(NC(=O)C3CCC3)c2)c1,5.784,0.456
38,Nc1ccc(Cl)c(C(=O)Nc2ccnc(NC(=O)C3CCCCC3)c2)c1,4.703,0.48
39,O=C(Nc1ccnc(NC(=O)C2CCC2)c1)c1cc(F)ccc1Cl,-2.096,0.451
40,Nc1ccc(Cl)c(C(=O)Nc2ccnc(NC(=O)C3CCCC3)c2)c1,6.51,0.468
41,Nc1c(Cl)cccc1C(=O)Nc1ccnc(NC(=O)C2CCC2)c1,16.358,0.459
42,O=C(Nc1ccnc(NC(=O)C2CC2Cl)c1)c1ccccc1Cl,-3.244,0.452
43,O=C1CC(C(=O)Nc2cc(NC(=O)c3c(Cl)cccc3Cl)ccn2)C1,-4.592,0.46
44,O=C(Nc1cc(NC(=O)C2CC2)ncc1F)c1c(Cl)cccc1Cl,0.213,0.447
45,O=C(Nc1ccnc(NC(=O)C2COC2)c1)c1c(Cl)cccc1Cl,-8.008,0.455
46,Nc1cc(NC(=O)c2c(Cl)cc(NC(=O)C3CC3)cc2Cl)ccn1,29.039,0.506
47,Cc1cccc(Cl)c1C(=O)Nc1ccnc(NC(=O)C2CCC2)c1,5.734,0.457
48,Cc1cccc(Cl)c1C(=O)Nc1ccnc(NC(=O)C2CCCC2)c1,12.217,0.47
49,O=C(Nc1ccnc(NC(=O)C2CC2)c1)c1c(Cl)cccc1C(F)(F)F,7.772,0.461
50,CC(=O)Nc1cc(Cl)c(C(=O)Nc2ccnc(NC(=O)C3CC3)c2)c(Cl)c1,5.208,0.498
51,O=C(Nc1ccnc(NC(=O)C2CCC2)c1)c1cccc(Cl)c1F,7.313,0.455
52,O=C(Nc1ccnc(NC(=O)C2CCOC2)c1)c1c(Cl)cccc1Cl,1.074,0.465
53,CC1(C)CC1C(=O)Nc1cc(NC(=O)c2c(Cl)cccc2Cl)ccn1,1.113,0.469
54,CC1CC1C(=O)Nc1cc(NC(=O)c2c(Cl)cccc2Cl)ccn1,-0.621,0.461
55,O=C(Nc1ccnc(NC(=O)C2CC2(F)F)c1)c1ccccc1Cl,0.38,0.445
56,Nc1ccc(C(=O)Nc2ccnc(NC(=O)C3CC3)c2)c(Cl)c1,3.735,0.448
57,O=C(Nc1cc(NC(=O)C2CCC2)ncc1F)c1c(Cl)cccc1Cl,2.877,0.459
58,O=C(Nc1ccnc(NC(=O)C2CC2)c1)c1ccc(F)cc1Cl,2.244,0.443
59,Nc1cccc(C(=O)Nc2ccnc(NC(=O)C3CC3)c2)c1Cl,8.244,0.445
60,Nc1ccc(Cl)cc1C(=O)Nc1ccnc(NC(=O)C2CC2)c1,13.372,0.444
61,O=C(Nc1ccnc(NC(=O)C2CC2F)c1)c1ccccc1Cl,-3.731,0.444
62,COc1cccc(Cl)c1C(=O)Nc1ccnc(NC(=O)C2CC2)c1,4.783,0.459
63,CNC(=O)C1CC1C(=O)Nc1cc(NC(=O)c2c(Cl)cccc2Cl)ccn1,-4.018,0.485
64,N#CC1CC1C(=O)Nc1cc(NC(=O)c2c(Cl)cccc2Cl)ccn1,-7.638,0.464
65,O=C(Nc1ccnc(NC(=O)C2CC2)c1)c1c(Cl)cc(CO)cc1Cl,6.121,0.47
66,Cc1c(Cl)cccc1C(=O)Nc1ccnc(NC(=O)C2CC2)c1,11.682,0.451
67,O=C(Nc1ccnc(NC(=O)C2CC2)c1)c1cc(O)ccc1Cl,-2.812,0.443
68,O=C(Nc1ccnc(NC(=O)C2CC2)c1)c1c(Cl)cc(CF)cc1Cl,8.12,0.466
69,O=C(Nc1ccnc(NC(=O)C2CC(O)C2)c1)c1ccccc1Cl,3.701,0.461
70,CC(=O)Nc1cc(Cl)c(C(=O)Nc2ccnc(NC(=O)C3CCC3)c2)c(Cl)c1,8.781,0.507
71,COc1cc(Cl)c(C(=O)Nc2ccnc(NC(=O)C3CC3)c2)c(Cl)c1,-0.432,0.472
72,O=C(Nc1ccnc(NC(=O)C2CC2)c1)c1cccc(F)c1Cl,-0.109,0.443
73,Nc1ccc(C(=O)Nc2ccnc(NC(=O)C3CCCCC3)c2)c(Cl)c1,6.681,0.483
74,Nc1ccc(C(=O)Nc2ccnc(NC(=O)C3CCC3)c2)c(Cl)c1,4.306,0.457
75,Nc1cccc(C(=O)Nc2ccnc(NC(=O)C3CCC3)c2)c1Cl,12.365,0.455
76,O=C(Nc1ccnc(NC(=O)C2CC2)c1)c1cc(Cl)ccc1F,4.438,0.445
77,Nc1ccc(Cl)cc1C(=O)Nc1ccnc(NC(=O)C2CCC2)c1,16.295,0.457
78,Nc1cccc(C(=O)Nc2ccnc(NC(=O)C3CCCC3)c2)c1Cl,11.498,0.471
79,O=C(Nc1ccnc(NC(=O)C2CCC2)c1)c1ccc(F)cc1Cl,6.384,0.454
80,O=C(Nc1ccnc(NC(=O)C2CCCC2)c1)c1ccc(F)cc1Cl,6.509,0.467
81,Nc1ccc(C(=O)Nc2ccnc(NC(=O)C3CCCC3)c2)c(Cl)c1,9.829,0.47
82,O=C(Nc1ccnc(NC(=O)C2CC2)c1)c1ccc(Cl)cc1F,6.943,0.446
83,O=C(Nc1ccnc(NC(=O)C2CC2F)c1)c1c(Cl)cc(Cl)cc1Cl,-2.286,0.465
84,O=C(Nc1ccnc(NC(=O)C2CC2)c1)c1c(F)ccc(F)c1Cl,-0.462,0.449
85,O=C(Nc1ccnc(NC(=O)C2CC2Cl)c1)c1cc(Cl)ccc1Cl,-2.331,0.456
86,COc1cccc(Cl)c1C(=O)Nc1ccnc(NC(=O)C2CCCC2)c1,7.966,0.478
87,COc1cccc(Cl)c1C(=O)Nc1ccnc(NC(=O)C2CCC2)c1,9.705,0.466
88,COc1cccc(Cl)c1C(=O)Nc1ccnc(NC(=O)C2CCCCC2)c1,11.6,0.494
89,O=C(Nc1ccnc(NC(=O)C2CCC2)c1)c1c(Cl)cc(CO)cc1Cl,10.238,0.482
90,O=C(Nc1ccnc(NC(=O)C2CCCC2)c1)c1c(Cl)cc(CO)cc1Cl,12.008,0.493
91,O=C(Nc1ccnc(NC(=O)C2CCCCC2)c1)c1c(Cl)cc(CO)cc1Cl,10.628,0.502
92,CC1CC1C(=O)Nc1cc(NC(=O)c2c(Cl)cc(NC(=O)C3CC3)cc2Cl)ccn1,6.394,0.527
93,O=C(Nc1ccnc(NC(=O)C2CCCC2)c1)c1cc(O)ccc1Cl,5.214,0.469
94,Cc1ccc(Cl)c(C(=O)Nc2ccnc(NC(=O)C3CCCC3)c2)c1,7.018,0.467
95,COc1cc(Cl)c(C(=O)Nc2ccnc(NC(=O)C3CCC3)c2)c(Cl)c1,5.284,0.485
96,O=C(Nc1ccnc(NC(=O)C2CCC2)c1)c1cc(O)ccc1Cl,0.004,0.454
97,O=C(Nc1ccnc(NC(=O)C2CCCCC2)c1)c1cc(O)ccc1Cl,1.2,0.481
98,O=C(Nc1ccnc(NC(=O)C2CCC2)c1)c1cc(Cl)ccc1F,6.058,0.449
99,Nc1cccc(Cl)c1C(=O)Nc1ccnc(NC(=O)C2CC2Cl)c1,11.016,0.452
100,O=C(Nc1ccnc(NC(=O)C2CC2F)c1)c1c(F)cccc1Cl,-6.199,0.445
101,O=C(Nc1ccnc(NC(=O)C2CC(O)C2)c1)c1c(Cl)cc(Cl)cc1Cl,0.904,0.477
102,O=C(Nc1ccnc(NC(=O)C2CCC2)c1)c1cccc(F)c1Cl,3.794,0.453
103,O=C(Nc1ccnc(NC(=O)C2CC2Cl)c1)c1c(F)cccc1Cl,-8.834,0.448
104,O=C(Nc1ccnc(NC(=O)C2CCC2)c1)c1ccc(Cl)cc1F,10.887,0.458
105,O=C(Nc1ccnc(NC(=O)C2CC2(F)F)c1)c1c(F)cccc1Cl,-1.892,0.446
106,CC(=O)Nc1cc(NC(=O)c2c(Cl)cc(NC(=O)C3CC3)cc2Cl)ccn1,8.693,0.511
107,O=C(Nc1ccnc(NC(=O)C2CC2Cl)c1)c1ccc(Cl)cc1Cl,2.863,0.463
108,O=C(Nc1cc(NC(=O)C2CC2)ncc1F)c1c(Cl)cc(NC(=O)C2CC2)cc1Cl,9.29,0.521
109,O=C(Nc1ccnc(NC(=O)C2CC2Cl)c1)c1cccc(Cl)c1,3.732,0.45
110,O=C(Nc1ccnc(NC(=O)C2CC2(F)F)c1)c1cc(Cl)ccc1Cl,-4.067,0.453
111,O=C(Nc1ccnc(NC(=O)C2CCC2)c1)c1c(F)ccc(F)c1Cl,1.61,0.454
112,O=C(Nc1cc(NC(=O)C2CC2)ncc1F)c1c(F)cccc1Cl,-3.602,0.446
113,Nc1cc(Cl)c(C(=O)Nc2ccnc(NC(=O)C3CC3Cl)c2)c(Cl)c1,-1.038,0.466
114,O=C(Nc1ccnc(NC(=O)C2CCCC2)c1)c1c(F)ccc(F)c1Cl,2.89,0.467
115,O=C(Nc1cc(NC(=O)C2CC2)ncc1F)c1ccccc1Cl,-8.193,0.441
116,O=C(Nc1ccnc(NC(=O)C2COC2)c1)c1ccccc1Cl,-2.074,0.444
117,O=C1CC(C(=O)Nc2cc(NC(=O)c3ccccc3Cl)ccn2)C1,-1.423,0.451
118,O=C(Nc1ccnc(NC(=O)C2CC2F)c1)c1cc(Cl)ccc1Cl,-0.943,0.452
119,COc1ccc(Cl)c(C(=O)Nc2ccnc(NC(=O)C3CC3)c2)c1,3.442,0.461
120,O=C(Nc1ccnc(NC(=O)C2CC2)c1)c1cccc(O)c1Cl,3.894,0.446
121,Cc1ccc(Cl)cc1C(=O)Nc1ccnc(NC(=O)C2CC2)c1,7.632,0.447
122,Nc1cccc(Cl)c1C(=O)Nc1ccnc(NC(=O)C2CC2(F)F)c1,13.686,0.45
123,NC(=O)C1CC1C(=O)Nc1cc(NC(=O)c2c(F)cccc2Cl)ccn1,-3.657,0.468
124,O=C(Nc1ccnc(NC(=O)C2CC2)c1)c1ccc(O)cc1Cl,-2.299,0.445
125,Cc1ccc(C(=O)Nc2ccnc(NC(=O)C3CC3)c2)c(Cl)c1,10.11,0.455
126,O=C(Nc1ccnc(NC(=O)C2CCOC2)c1)c1ccccc1Cl,4.33,0.458
127,Cc1cc(Cl)ccc1C(=O)Nc1ccnc(NC(=O)C2CC2)c1,12.575,0.454
128,Nc1cccc(Cl)c1C(=O)Nc1ccnc(NC(=O)C2CC2F)c1,6.1,0.446
129,O=C(Nc1ccnc(NC(=O)C2CC(O)C2)c1)c1cc(Cl)ccc1Cl,0.409,0.464
130,O=C(Nc1ccnc(NC(=O)C2CC2Cl)c1)c1c(Cl)cccc1Br,4.343,0.459
131,CC1CC1C(=O)Nc1cc(NC(=O)c2ccccc2Cl)ccn1,-0.957,0.451
132,O=C(Nc1ccnc(NC(=O)C2CC2)c1)c1c(F)cccc1F,-1.437,0.432
133,O=C(Nc1ccnc(NC(=O)C2CC2(F)F)c1)c1ccc(Cl)cc1Cl,9.065,0.458
134,O=C(Nc1ccnc(NC(=O)C2CC2F)c1)c1cccc(Cl)c1,3.372,0.445
135,O=C(Nc1cc(NC(=O)C2CCC2)ncc1F)c1c(F)cccc1Cl,-0.341,0.452
136,O=C(Nc1cc(NC(=O)C2CCCC2)ncc1F)c1c(F)cccc1Cl,-0.908,0.467
137,O=C(Nc1cc(NC(=O)C2CCCC2)ncc1F)c1ccccc1Cl,-0.653,0.461
138,Nc1cc(Cl)c(C(=O)Nc2ccnc(NC(=O)C3CC3(F)F)c2)c(Cl)c1,-1.086,0.459
139,O=C(Nc1cc(NC(=O)C2CCC2)ncc1F)c1ccccc1Cl,-5.855,0.454
140,O=C(Nc1ccnc(NC(=O)C2CC2F)c1)c1ccc(Cl)cc1Cl,9.236,0.455
141,O=Cc1cc(Cl)c(C(=O)Nc2ccnc(NC(=O)C3CC3Cl)c2)c(Cl)c1,1.87,0.477
142,Nc1cc(Cl)c(C(=O)Nc2ccnc(NC(=O)C3CC3F)c2)c(Cl)c1,-0.811,0.458
143,O=C(Nc1ccnc(NC(=O)C2CC2(F)F)c1)c1cccc(Cl)c1,7.673,0.447
144,Nc1cccc(Cl)c1C(=O)Nc1ccnc(NC(=O)C2CC(O)C2)c1,10.67,0.466
145,COc1ccc(Cl)c(C(=O)Nc2ccnc(NC(=O)C3CCCC3)c2)c1,12.186,0.475
146,O=C(Nc1ccnc(NC(=O)C2CC2CO)c1)c1c(Cl)cccc1Cl,-3.501,0.466
147,O=C(Nc1ccnc(NC(=O)C2CC(O)C2)c1)c1c(F)cccc1Cl,-2.982,0.466
148,O=C(Nc1cc(NC(=O)C2CC2)ncc1F)c1c(Cl)cc(Cl)cc1Cl,5.449,0.461
149,O=C1CC(C(=O)Nc2cc(NC(=O)c3c(Cl)cc(Cl)cc3Cl)ccn2)C1,5.805,0.472
150,O=C(Nc1ccnc(NC(=O)C2COC2)c1)c1c(Cl)cc(Cl)cc1Cl,6.389,0.463
151,O=C(Nc1ccnc(NC(=O)C2CC2F)c1)c1ccc(Cl)cc1,9.964,0.446
152,O=C(Nc1ccnc(NC(=O)C2CC2(F)F)c1)c1c(Cl)cccc1Br,6.574,0.458
153,O=C(Nc1ccnc(NC(=O)C(F)F)c1)c1c(Cl)cc(NC(=O)C2CC2)cc1Cl,4.227,0.518
154,N#CC1CC1C(=O)Nc1cc(NC(=O)c2ccccc2Cl)ccn1,6.908,0.456
155,O=C(Nc1ccnc(NC(=O)C2CC(O)C2)c1)c1cccc(Cl)c1,8.225,0.457
156,O=C(Nc1ccnc(NC(=O)C2CCC2)c1)c1ccc(O)cc1Cl,1.421,0.458
157,O=C(Nc1ccnc(NC(=O)C2CC2F)c1)c1c(Cl)cccc1Br,-1.361,0.455
158,O=Cc1cc(Cl)c(C(=O)Nc2ccnc(NC(=O)C3CC(O)C3)c2)c(Cl)c1,5.552,0.482
159,Cc1cc(Cl)ccc1C(=O)Nc1ccnc(NC(=O)C2CCCC2)c1,14.259,0.472
160,O=C(Nc1ccnc(NC(=O)C2CCCC2)c1)c1cccc(O)c1Cl,6.112,0.47
161,Nc1cc(Cl)c(C(=O)Nc2ccnc(NC(=O)C3CC(O)C3)c2)c(Cl)c1,2.159,0.476
162,O=C(Nc1ccnc(NC(=O)C2CCC2)c1)c1cccc(O)c1Cl,5.611,0.459
163,O=C(Nc1ccnc(NC(=O)C2CC(O)C2)c1)c1ccc(Cl)cc1Cl,6.414,0.473
164,Cc1ccc(C(=O)Nc2ccnc(NC(=O)C3CCC3)c2)c(Cl)c1,11.728,0.463
165,O=C(Nc1ccnc(NC(=O)C2CCCCC2)c1)c1cccc(O)c1Cl,7.588,0.483
166,O=C(Nc1ccnc(NC(=O)C2CCCC2)c1)c1ccc(O)cc1Cl,1.359,0.468
167,Cc1ccc(C(=O)Nc2ccnc(NC(=O)C3CCCC3)c2)c(Cl)c1,11.436,0.475
168,Nc1ccccc1C(=O)Nc1ccnc(NC(=O)C2CCC2)c1,20.575,0.446
169,O=C(Nc1ccnc(NC(=O)C2CCCC2)c1)c1c(F)cccc1F,1.848,0.459
170,O=C(Nc1ccnc(NC(=O)C2CCC2)c1)c1c(F)cccc1F,-1.906,0.446
171,O=C(Nc1ccnc(NC(=O)C2CC2(F)F)c1)c1cc(F)ccc1Cl,1.072,0.445
172,O=Cc1cc(Cl)c(C(=O)Nc2ccnc(NC(=O)C3CC3(F)F)c2)c(Cl)c1,6.566,0.471
173,O=C(Nc1ccnc(NC(=O)C2CC2Cl)c1)c1cc(F)ccc1Cl,-6.013,0.451
174,Nc1c(Cl)cccc1C(=O)Nc1ccnc(NC(=O)C2CC2Cl)c1,8.134,0.458
175,O=Cc1cc(Cl)c(C(=O)Nc2ccnc(NC(=O)C3CC3F)c2)c(Cl)c1,5.488,0.469
176,O=C(Nc1ccnc(NC(=O)C2CCCO2)c1)c1c(Cl)cccc1Cl,4.768,0.47
177,O=C(Nc1ccnc(NC(=O)C2CC(O)C2)c1)c1ccc(Cl)cc1,13.17,0.46
178,Nc1ccc(Cl)c(C(=O)Nc2ccnc(NC(=O)C3CC3Cl)c2)c1,-5.123,0.453
179,O=C(Nc1ccnc(NC(=O)C2CC2F)c1)c1cc(F)ccc1Cl,1.079,0.446
180,O=C(Nc1ccnc(NC(=O)C2CC2)c1)c1c(F)cc(F)cc1F,-1.91,0.439
181,O=C(Nc1ccnc(NC(=O)C2CC2Cl)c1)c1ccccc1,9.412,0.44
182,O=C(Nc1ccnc(NC(=O)C2CC(O)C2)c1)c1c(Cl)cccc1Br,1.597,0.468
183,CC(=O)NCC1CC1C(=O)Nc1cc(NC(=O)c2c(Cl)cccc2Cl)ccn1,0.305,0.504
184,CC(O)c1cc(Cl)c(C(=O)Nc2ccnc(NC(=O)C3CC3)c2)c(Cl)c1,8.582,0.487
185,O=C(Nc1ccnc(NC(=O)C2COC2)c1)c1cc(Cl)ccc1Cl,3.13,0.455
186,O=C(Nc1cc(NC(=O)C2CC2)ncc1F)c1cc(Cl)ccc1Cl,-7.885,0.447
187,O=C(Nc1cc(NC(=O)C2CC2)ncc1F)c1cc(F)ccc1Cl,-4.061,0.445
188,O=C1CC(C(=O)Nc2cc(NC(=O)c3cc(Cl)ccc3Cl)ccn2)C1,-2.216,0.464
189,Cc1cccc(Cl)c1C(=O)Nc1ccnc(NC(=O)C2CC2Cl)c1,0.683,0.459
190,COc1ccc(Cl)cc1C(=O)Nc1ccnc(NC(=O)C2CC2)c1,17.2,0.458
191,COc1ccc(C(=O)Nc2ccnc(NC(=O)C3CC3)c2)c(Cl)c1,8.277,0.465
192,COC(=O)Nc1cc(NC(=O)c2c(Cl)cc(NC(=O)C3CC3)cc2Cl)ccn1,2.749,0.514
193,COc1cc(Cl)cc(Cl)c1C(=O)Nc1ccnc(NC(=O)C2CC2)c1,10.738,0.469
194,Cc1cccc(Cl)c1C(=O)Nc1ccnc(NC(=O)C2CC2(F)F)c1,11.722,0.454
195,O=C(Nc1ccnc(NC(=O)C2CC2)c1)c1cccc(F)c1F,1.558,0.433
196,O=C(Nc1ccnc(NC(=O)C2CCC2)c1)c1ccccc1F,7.256,0.441
197,Cc1cccc(C)c1C(=O)Nc1ccnc(NC(=O)C2CC2)c1,14.361,0.452
198,O=C(Nc1ccnc(NC(=O)C2CCCC2)c1)c1ccccc1F,9.162,0.455
199,O=C(Nc1ccnc(NC(=O)C2CCC2)c1)c1cccc(F)c1,7.701,0.442
200,Nc1cccc(C(=O)Nc2ccnc(NC(=O)C3CCCC3)c2)c1,13.3,0.459
201,O=C(Nc1cc(NC(=O)c2c(Cl)cccc2Cl)ccn1)NC1CC1,-7.6,0.458
202,Nc1cccc(C(=O)Nc2ccnc(NC(=O)C3CCC3)c2)c1,12.333,0.446
203,O=C(Nc1ccnc(NC(=O)C2CC2Cl)c1)c1cccc(Cl)c1F,-0.744,0.454
204,Cc1cc(Cl)c(C(=O)Nc2ccnc(NC(=O)C3CC3Cl)c2)c(Cl)c1,12.197,0.472
205,Nc1cccc(Cl)c1C(=O)Nc1ccnc(NC(=O)C2COC2)c1,10.362,0.451
206,Nc1cccc(Cl)c1C(=O)Nc1ccnc(NC(=O)C2CC(=O)C2)c1,9.773,0.46
207,Nc1c(Cl)cccc1C(=O)Nc1ccnc(NC(=O)C2CC2F)c1,14.354,0.45
208,Nc1ccc(Cl)c(C(=O)Nc2ccnc(NC(=O)C3CC3(F)F)c2)c1,5.598,0.451
209,O=C(Nc1ccnc(NC(=O)C2COC2)c1)c1c(F)cccc1Cl,-1.455,0.451
210,O=C(Nc1ccnc(NC(=O)C2CC2(F)F)c1)c1cccc(Cl)c1F,9.618,0.45
211,N#CC1CC1C(=O)Nc1cc(NC(=O)c2c(Cl)cc(Cl)cc2Cl)ccn1,-3.102,0.472
212,Nc1c(Cl)cccc1C(=O)Nc1ccnc(NC(=O)C2CC2(F)F)c1,15.433,0.453
213,O=C1CC(C(=O)Nc2cc(NC(=O)c3c(F)cccc3Cl)ccn2)C1,-2.814,0.459
214,O=C(Nc1ccnc(NC(=O)C2CC2F)c1)c1cccc(Cl)c1F,-2.133,0.445
215,Cc1cc(Cl)c(C(=O)Nc2ccnc(NC(=O)C3CC3(F)F)c2)c(Cl)c1,10.417,0.469
216,CC1CC1C(=O)Nc1cc(NC(=O)c2cc(Cl)ccc2Cl)ccn1,2.941,0.46
217,Nc1ccc(Cl)c(C(=O)Nc2ccnc(NC(=O)C3CC3F)c2)c1,0.027,0.447
218,Nc1cccc(Cl)c1C(=O)Nc1cc(NC(=O)C2CC2)ncc1F,1.492,0.446
219,CC(O)c1cc(Cl)c(C(=O)Nc2ccnc(NC(=O)C3CCC3)c2)c(Cl)c1,7.777,0.496
220,O=C(Nc1ccnc(NC(=O)C2CCCC2)c1)c1c(F)cc(F)cc1F,6.424,0.462
221,Nc1ccc(C(=O)Nc2ccnc(NC(=O)C3CCCC3)c2)cc1,18.543,0.462
222,O=C(Nc1ccnc(NC(=O)C2CCC2)c1)c1c(F)cc(F)cc1F,6.574,0.449
223,O=C(Nc1ccnc(NC(=O)C2CCCCC2)c1)c1c(F)cc(F)cc1F,10.095,0.472
224,O=C(Nc1ccnc(NC(=O)C2CCC2)c1)c1ccc(F)cc1,16.114,0.444
225,Nc1ccc(C(=O)Nc2ccnc(NC(=O)C3CCC3)c2)cc1,14.271,0.448
226,O=C(Nc1ccnc(NC(=O)C2CC2)c1)c1cc(F)ccc1F,0.612,0.436
227,O=C1CC(C(=O)Nc2cc(NC(=O)c3ccc(Cl)cc3Cl)ccn2)C1,4.778,0.468
228,O=C(Nc1cc(NC(=O)C2CC2)ncc1F)c1cccc(Cl)c1F,9.547,0.446
229,Nc1cc(Cl)c(C(=O)Nc2ccnc(NC(=O)C3COC3)c2)c(Cl)c1,2.751,0.462
230,O=C(Nc1cc(NC(=O)C2CC2)ncc1F)c1cccc(Cl)c1,11.162,0.443
231,O=C(Nc1cc(NC(=O)C2CCC2)ncc1F)c1cc(F)ccc1Cl,-1.439,0.455
232,O=C(Nc1cc(NC(=O)C2CC2)ncc1F)c1ccc(Cl)cc1Cl,-3.006,0.454
233,O=C(Nc1cc(NC(=O)C2CC2F)ncc1F)c1c(Cl)cccc1Cl,-3.955,0.453
234,O=C(Nc1cc(NC(=O)C2CC2Cl)ncc1F)c1c(Cl)cccc1Cl,-5.396,0.458
235,O=C(Nc1cc(NC(=O)C2CCC2)ncc1F)c1cc(Cl)ccc1Cl,-2.604,0.459
236,O=C(Nc1ccnc(NC(=O)C2COC2)c1)c1ccc(Cl)cc1Cl,5.939,0.455
237,O=C(Nc1cc(NC(=O)C2CCCC2)ncc1F)c1cc(F)ccc1Cl,-6.29,0.465
238,Nc1cc(Cl)c(C(=O)Nc2ccnc(NC(=O)C3CC(=O)C3)c2)c(Cl)c1,2.854,0.471
239,Nc1cc(Cl)c(C(=O)Nc2cc(NC(=O)C3CC3)ncc2F)c(Cl)c1,-0.857,0.457
240,Cc1cccc(Cl)c1C(=O)Nc1ccnc(NC(=O)C2CC2F)c1,-2.015,0.448
241,Nc1cccc(Cl)c1C(=O)Nc1ccnc(NC(=O)C2CCOC2)c1,11.871,0.464
242,CC1CC1C(=O)Nc1cc(NC(=O)c2c(F)cccc2Cl)ccn1,-2.319,0.454
243,CC1(C)CC1C(=O)Nc1cc(NC(=O)c2c(F)cccc2Cl)ccn1,0.446,0.463
244,Nc1ccc(Cl)c(C(=O)Nc2ccnc(NC(=O)C3CC(O)C3)c2)c1,1.714,0.464
245,COc1ccc(C(=O)Nc2ccnc(NC(=O)C3CCC3)c2)c(Cl)c1,8.674,0.477
